phi_applied,target_current_density,simulated_current_density
-1,-0.008122387304030951,-0.003624927809394392
-2,-0.02789442154196056,-0.02490177947073391
-3,-0.06129697453964553,-0.06660589057369962
-4,-0.108061083948832,-0.1058626428807964
-5,-0.1354812639890666,-0.1342964718908584
-6.5,-0.1593150309425325,-0.1593615944660009
-8,-0.1716718651389106,-0.1711988189028215
-10,-0.1735978669086523,-0.1775355105251736
-13,-0.1808074919500438,-0.1806462774920114
-17,-0.1820896560953913,-0.1824883222860147
-22,-0.1891036002732425,-0.1841102202035358
-28,-0.1832562407713948,-0.1856719664912421
-35,-0.1885126321939949,-0.1871975693666576
-41,-0.1859119715816313,-0.1883673325039981
-46.5,-0.1886093566851096,-0.1893750514634559
