evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
1,0,6.354985758541774e-05,4.305623149933559e-05,0,0,0.0014923550291375547,4.777888332831797e-05,0.569446599396879,0.4573134939686295,-0.007230420673089562,0.014393823636332188,3.463300670959513e-05,5.880224282446408e-06,0.0014923550291375547,4.777888332831797e-05
2,0,6.354801634358841e-05,4.295563302227945e-05,0,0,0.001492440408257305,4.7778709116042445e-05,0.5694119663901694,0.4573076137443471,-0.007325665232330799,0.014478482550425532,3.4261708134185414e-05,5.918814537768162e-06,0.001492440408257305,4.7778709116042445e-05
3,1,6.295083207398274e-05,4.826164436493293e-05,0,0,0.0015325187921919605,4.777410543998517e-05,0.5566186467112824,0.4572677626192327,-0.013554694345736041,-0.004455550467702787,-6.320696241300537e-06,1.0824642693045826e-06,0.0015325187921919605,4.777410543998517e-05
4,2,6.212201762849454e-05,0.00011224121457427551,0,0,0.0016435758457448513,4.777410543998517e-05,0.5280942855439141,0.4572677626192327,-0.021909437403011787,-0.04249851979951566,-7.493796012989401e-05,-9.248069490156046e-06,0.0016435758457448513,4.777410543998517e-05
5,3,6.150508757119196e-05,0.00012586002304693195,0,0,0.001744110005475054,4.778366121665079e-05,0.5093281807645217,0.45735922531802636,-0.02124662459128179,-0.0598305419703205,-9.112762316152075e-05,-1.4584366005034687e-05,0.001744110005475054,4.778366121665079e-05
6,4,6.00200079528155e-05,6.16496225139887e-05,0,0,0.002061008287333373,4.778366121665079e-05,0.4681928400380595,0.45735922531802636,-0.006974475496392973,-0.07398167321030273,-4.667775994668406e-05,-2.144995742508466e-05,0.002061008287333373,4.778366121665079e-05
7,5,5.9874753340202174e-05,2.316968659504041e-05,0,0,0.0021156703066209457,4.778366121665079e-05,0.46562792912625944,0.45735922531802636,-0.000991231358903706,-0.06411709143275698,-9.173960975783986e-06,-1.9483043289065698e-05,0.0021156703066209457,4.778366121665079e-05
8,6,5.98677993936424e-05,1.9118490635317353e-05,0,0,0.002103083502005696,4.778366121665079e-05,0.46841763355634225,0.45735922531802636,-9.83516246702382e-06,-0.05897914672768416,-2.5278966484365067e-07,-1.7981666329715067e-05,0.002103083502005696,4.778366121665079e-05
