phi_applied,target_flux,simulated_flux
0,0.1578497801124603,0.1569757591713248
0.002857142857142857,0.1504368508103034,0.1578873032171949
0.005714285714285714,0.1601412138663642,0.1593775231914682
0.008571428571428572,0.1535339066803453,0.1614539199664418
0.01142857142857143,0.1661511286987115,0.164109818355936
0.01428571428571429,0.1751634524048283,0.1674098928600518
0.01714285714285714,0.1725040391545083,0.1713650763001943
0.02,0.1747936651428587,0.1760193384933237
0.02285714285714286,0.189580079625498,0.1814321928459944
0.02571428571428571,0.1880211463010321,0.1876841237151107
0.02857142857142857,0.2131812829526877,0.194868995953264
0.03142857142857143,0.2000785709578225,0.2031715732669552
0.03428571428571429,0.201502650261968,0.212794553662708
0.03714285714285714,0.2147987312523777,0.2240519345367964
0.04,0.2379764599501354,0.2374732469040337
