evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,reason
1,0,0,0.0,0.1537096992013236,0.2702832230363155,0.006794693229653252,0.0012608287343672323,0.0012608287343672318,1,20,
1,0,1,0.002857142857142857,0.14363152142523877,0.27055304851914846,0.008054537019924854,0.0012980709851203504,0.0014467580592660383,1,20,
1,0,2,0.005714285714285714,0.15433294617032825,0.2713645979470387,0.0068482037587922805,0.0011276277418609112,0.0014014429011735482,1,20,
1,0,3,0.008571428571428572,0.15499327549656108,0.272724165981882,0.006930281287232949,0.0010643822481973078,0.0014765750243735931,1,20,
1,0,4,0.011428571428571429,0.15357593245051368,0.27464250140944546,0.007328557059744423,0.0010224483534034417,0.0015856915864277774,1,20,
1,0,5,0.014285714285714285,0.16669632113554658,0.2771352126715209,0.006098374381847158,0.0008669456947967688,0.001506320605185967,1,20,
1,0,6,0.017142857142857144,0.18742345512850903,0.2802233758756325,0.0043059126453361225,0.000673342899127335,0.001314405799428015,1,20,
1,0,7,0.02,0.17614456349997504,0.2839343917173403,0.005809323533564608,0.0007182952076445153,0.0015809636280375498,1,20,
1,0,8,0.022857142857142857,0.18474521099748517,0.28830316055390426,0.005362124458164461,0.0006290957397229894,0.0015682910342879103,1,20,
1,0,9,0.025714285714285714,0.17773726205883086,0.29337367824945837,0.006685890374706382,0.0006347821451073494,0.0018025931921165415,1,20,
1,0,10,0.02857142857142857,0.20159652695535735,0.2992012045461811,0.004763336543803484,0.0004790765172423989,0.0015608749717166707,1,20,
1,0,11,0.03142857142857143,0.20755113845381495,0.3058552322043175,0.004831847424053315,0.00042583088302784456,0.0016065754089776801,1,20,
1,0,12,0.03428571428571429,0.2199229815428552,0.3134236054439978,0.004371183334950635,0.0003515486112304103,0.0015545809524649759,1,20,
1,0,13,0.037142857142857144,0.22267393085878107,0.32201833557281123,0.004934655373992989,0.0003171368563581383,0.001671053356116961,1,20,
1,0,14,0.04,0.21936518642068217,0.3317840003290874,0.006318994860285494,0.0002954706092506393,0.0018993330411898267,1,20,
2,0,0,0.0,0.1537096992013236,0.26991051963708507,0.006751315334971578,0.0012596812698120814,0.0012617142588665629,1,20,
2,0,1,0.002857142857142857,0.14363152142523877,0.27017333978394736,0.008006415896764027,0.0012971519408420023,0.0014481468773427917,1,20,
2,0,2,0.005714285714285714,0.15433294617032825,0.27097808903281817,0.006803044676705014,0.0011264701044195274,0.0014024199374909657,1,20,
2,0,3,0.008571428571428572,0.15499327549656108,0.2723310925378099,0.00688408165400243,0.00106323962271748,0.0014776211772136263,1,20,
2,0,4,0.011428571428571429,0.15357593245051368,0.27424313818256096,0.007280287269590641,0.0010213763197979028,0.0015869518332133523,1,20,
2,0,5,0.014285714285714285,0.16669632113554658,0.276729884249366,0.006053692505761249,0.0008656961677346743,0.0015070231410448261,1,20,
2,0,6,0.017142857142857144,0.18742345512850903,0.27981247056766656,0.004267865086908368,0.0006718427893742074,0.0013140755466826786,1,20,
2,0,7,0.02,0.17614456349997504,0.28351837996051227,0.005764568230650619,0.0007170785840184192,0.0015815348820257759,1,20,
2,0,8,0.022857142857142857,0.18474521099748517,0.28788261981978064,0.0053186625492881974,0.0006278740472379306,0.0015686034908077228,1,20,
2,0,9,0.025714285714285714,0.17773726205883086,0.29294932735114004,0.006636909994460027,0.0006337598260624909,0.001803729389939429,1,20,
2,0,10,0.02857142857142857,0.20159652695535735,0.29877395169881565,0.004721725939884413,0.0004779269444976279,0.0015608044937660472,1,20,
2,0,11,0.03142857142857143,0.20755113845381495,0.30542624354655257,0.004789768098456738,0.0004247691128148111,0.0016065741522839894,1,20,
2,0,12,0.03428571428571429,0.2199229815428552,0.3129944046330953,0.0043311448980204205,0.0003505402299686443,0.0015542627921143232,1,20,
2,0,13,0.037142857142857144,0.22267393085878107,0.32159095176125974,0.004892288512111179,0.00031625138498053224,0.0016712141017877164,1,20,
2,0,14,0.04,0.21936518642068217,0.3313611937406444,0.00627155282780569,0.00029471044363309554,0.0019005282151581485,1,20,
3,1,0,0.0,0.1537096992013236,0.2695366335683887,0.0067079393624357424,0.0012585140260561866,0.001262596579362401,1,20,
3,1,1,0.002857142857142857,0.14363152142523877,0.2697923819641467,0.007958281365958714,0.0012962143486788583,0.00144953543378905,1,20,
3,1,2,0.005714285714285714,0.15433294617032825,0.2705902648048663,0.006757882068045929,0.0011252933186992112,0.001403391818147062,1,20,
3,1,3,0.008571428571428572,0.15499327549656108,0.27193663796629924,0.006837875012863922,0.0010620783624511023,0.0014786613066672403,1,20,
3,1,4,0.011428571428571429,0.15357593245051368,0.27384232870053254,0.007232003033483803,0.0010202864760680702,0.0015882064027075281,1,20,
3,1,5,0.014285714285714285,0.16669632113554658,0.2763230454587128,0.0060090093429135474,0.000864428678451646,0.00150771354503057,1,20,
3,1,6,0.017142857142857144,0.18742345512850903,0.27939999220403117,0.0042298416862023725,0.000670324322488326,0.0013137223884308507,1,20,
