phi_applied,flux_clean,flux_noisy
-1,-0.002819451201137672,-0.002037117351984403
-2,-0.02280168364757939,-0.02094170364994419
-3,-0.06408144171047786,-0.06333339791782359
-4,-0.09958232622819777,-0.1025324149083589
-5,-0.121117997357992,-0.1190684518165829
-6,-0.132384000737594,-0.131373497521937
-7,-0.1382015074747834,-0.139417062760819
-8,-0.1416567132571243,-0.1403411774956293
-9,-0.1441877665911032,-0.143362447225946
-10,-0.1463470338802056,-0.1456811764319968
