phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, surrogate)",5.00000000e-03,5.00000000e-04,0.352525,0.176168,295.8333,850.0000,43.7759,64.7664,7.467763621341e-04,0.0
Phase 2 (joint shallow surr),1.37383579e-03,4.86481767e-05,0.597169,0.468247,8.7620,7.5685,4.7577,6.3505,6.307420426455e-05,0.0
Phase 3 (PDE refine),1.47506329e-03,4.70067720e-05,0.572570,0.460938,16.7758,10.6871,8.6810,7.8125,5.292129838395e-05,99.2
