phi_applied,target_flux,simulated_flux
0,0.1537096992013236,0.1516022780074215
0.002857142857142857,0.1436315214252388,0.1530336679514075
0.005714285714285714,0.1543329461703283,0.1550376444654112
0.008571428571428572,0.1549932754965611,0.1575990847610627
0.01142857142857143,0.1535759324505137,0.1607732646300963
0.01428571428571429,0.1666963211355466,0.1645603182851818
0.01714285714285714,0.187423455128509,0.1689910554784418
0.02,0.176144563499975,0.1741082726144907
0.02285714285714286,0.1847452109974852,0.1799702815452466
0.02571428571428571,0.1777372620588308,0.1866401172742596
0.02857142857142857,0.2015965269553573,0.1942581960888356
0.03142857142857143,0.207551138453815,0.2029590240779362
0.03428571428571429,0.2199229815428552,0.2129457180925656
0.03714285714285714,0.2226739308587811,0.2245618040933996
0.04,0.2193651864206822,0.2382886113734728
