evaluation,iteration,point_index,phi_applied,target_observable,simulated_observable,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason
1,0,0,0.0,0.15283692351171685,0.27025924801846707,0.15283692351171685,0.27025924801846707,0.006894001146284199,0.0012701491067781071,0.0012701491067781106,1,20,0.00013316350448581177,3.599346160132466e-05,1,
1,0,1,0.002857142857142857,0.15164222398564503,0.2705282961832517,0.15164222398564503,0.2705282961832517,0.007066949081287671,0.0012160237620778846,0.001355303475716124,1,20,0.00013304143084604323,3.5996260602577657e-05,1,
1,0,2,0.005714285714285714,0.15768304391864116,0.2713375268486877,0.15768304391864116,0.2713375268486877,0.006458670745047767,0.0010952006669135924,0.001361125283686194,1,20,0.00013267548291793837,3.600461433800328e-05,1,
1,0,3,0.008571428571428572,0.15752328104076163,0.27269327495365775,0.15752328104076163,0.27269327495365775,0.0066320637489478045,0.0010413196638180144,0.0014445610500376745,1,20,0.00013206645900069806,3.601839203792867e-05,1,
1,0,4,0.011428571428571429,0.1757575919983836,0.2746063588057588,0.1757575919983836,0.2746063588057588,0.0048855393496699965,0.0008348602953348177,0.0012947521949201923,1,20,0.00013121562957387693,3.603737492252623e-05,1,
1,0,5,0.014285714285714285,0.15500963246407307,0.27709248946039877,0.15500963246407307,0.27709248946039877,0.007452111986192111,0.0009583661815988824,0.0016651663267291444,1,20,0.00013012467154386264,3.6061261638131725e-05,1,
1,0,6,0.017142857142857144,0.14154558325286135,0.2801728847571574,0.14154558325286135,0.2801728847571574,0.009608764361181871,0.0010058138373186185,0.0019634579356410738,1,20,0.0001287955618080583,3.608967228529991e-05,1,
1,0,7,0.02,0.17423541959823166,0.2838751350052266,0.17423541959823166,0.2838751350052266,0.006010433597263287,0.0007305254010315061,0.0016079867684842242,1,20,0.0001272303902231754,3.6122140035343975e-05,1,
1,0,8,0.022857142857142857,0.18051762045906747,0.2882343909005181,0.18051762045906747,0.2882343909005181,0.005801451317168757,0.0006541927016074825,0.0016310661962450914,1,20,0.00012543124047465615,3.6158132557528866e-05,1,
1,0,9,0.025714285714285714,0.18505623210130806,0.293294977823766,0.18505623210130806,0.293294977823766,0.005857813037784884,0.0005939192753514383,0.0016869377064286277,1,20,0.00012339992420419118,3.619704474550067e-05,1,
1,0,10,0.02857142857142857,0.2001595140501302,0.2991488295238835,0.2001595140501302,0.2991488295238835,0.004899442288980356,0.00048545777122163165,0.0015824852011003525,1,19,0.00017233634856541978,5.156310315468371e-05,1,
1,0,11,0.03142857142857143,0.2100297946708123,0.3057935870818365,0.2100297946708123,0.3057935870818365,0.0045853519684716255,0.0004143171356543966,0.0015643442119933155,1,19,0.00016887272616246632,5.1648918787228215e-05,1,
1,0,12,0.03428571428571429,0.2177630371219735,0.3133540800532702,0.2177630371219735,0.3133540800532702,0.004568823744345872,0.0003587713643355851,0.0015883555555570336,1,19,0.00016508366497088113,5.1738181097327196e-05,1,
1,0,13,0.037142857142857144,0.23685192629599827,0.3219434093832942,0.23685192629599827,0.3219434093832942,0.0036202802469966783,0.0002709342810772334,0.0014301088320195696,1,19,0.000160964201310682,5.182970648592855e-05,1,
1,0,14,0.04,0.2481075745648836,0.33170769493463564,0.2481075745648836,0.33170769493463564,0.0034944900629193918,0.00021887453245214683,0.0014108132372979108,1,19,0.00015650530834005925,5.19221411652282e-05,1,
2,0,0,0.0,0.15283692351171685,0.2698908015346706,0.15283692351171685,0.2698908015346706,0.006850805180106189,0.0012690549094805852,0.001271040679062223,1,20,0.00013343744586815078,3.601834541611115e-05,1,
2,0,1,0.002857142857142857,0.15164222398564503,0.2701530582885146,0.15164222398564503,0.2701530582885146,0.007022408923581502,0.0012149484974154818,0.0013562977481349848,1,20,0.00013331777068310065,3.6021005714426124e-05,1,
2,0,2,0.005714285714285714,0.15768304391864116,0.2709557026187445,0.15768304391864116,0.2709557026187445,0.006415347604494696,0.001094001133154779,0.001361911855783126,1,20,0.00013295341625503486,3.6029276532345555e-05,1,
2,0,3,0.008571428571428572,0.15752328104076163,0.27230509940076814,0.15752328104076163,0.27230509940076814,0.006587432913014305,0.0010401562933435807,0.001445447264516521,1,20,0.00013234514705498748,3.60430285439306e-05,1,
2,0,4,0.011428571428571429,0.1757575919983836,0.2742121054779867,0.1757575919983836,0.2742121054779867,0.004846645612253248,0.0008333976481937796,0.001294801441247584,1,20,0.00013149420094390676,3.6062043648588116e-05,1,
2,0,5,0.014285714285714285,0.15500963246407307,0.276692481166282,0.15500963246407307,0.276692481166282,0.007403357834141789,0.0009573510965670596,0.001666492566253015,1,20,0.0001304022235346899,3.608602047672216e-05,1,
2,0,6,0.017142857142857144,0.14154558325286135,0.2797675074165022,0.14154558325286135,0.2797675074165022,0.00955265015975001,0.0010050761233641086,0.001965799340071998,1,20,0.00012907116134544853,3.6114578439550016e-05,1,
2,0,7,0.02,0.17423541959823166,0.28346485601044996,0.17423541959823166,0.28346485601044996,0.005965534889465287,0.0007293647831998605,0.0016086494515002417,1,20,0.00012750307383220337,3.614724935013802e-05,1,
2,0,8,0.022857142857142857,0.18051762045906747,0.2878197839661696,0.18051762045906747,0.2878197839661696,0.005756877146653106,0.0006530528904718894,0.0016316271838173143,1,20,0.0001257000130763614,3.6183498874464703e-05,1,
2,0,9,0.025714285714285714,0.18505623210130806,0.2928767572257228,0.18505623210130806,0.2928767572257228,0.005812632819051708,0.0005928397166257437,0.0016875555633186889,1,20,0.00012366375603547902,3.622271929154541e-05,1,
2,0,10,0.02857142857142857,0.2001595140501302,0.29872792412348825,0.2001595140501302,0.29872792412348825,0.004857865732194069,0.0004843477610084743,0.0015825022842834546,1,19,0.00017268111045202664,5.159357889716887e-05,1,
2,0,11,0.03142857142857143,0.2100297946708123,0.3053711311146806,0.2100297946708123,0.3053711311146806,0.004544985217452199,0.000413259172785896,0.0015641572878532424,1,19,0.00016920819567188105,5.1680042792989767e-05,1,
2,0,12,0.03428571428571429,0.2177630371219735,0.31293159010181587,0.2177630371219735,0.31293159010181587,0.004528526738137903,0.0003577991046469825,0.0015881882125409526,1,19,0.00016540822355711062,5.177002160094979e-05,1,
2,0,13,0.037142857142857144,0.23685192629599827,0.32152290694581764,0.23685192629599827,0.32152290694581764,0.0035845874820999435,0.00027000076239555544,0.0014292228058123955,1,19,0.00016127610087931924,5.186232492915277e-05,1,
2,0,14,0.04,0.2481075745648836,0.3312919327880397,0.2481075745648836,0.3312919327880397,0.003459818726500051,0.00021804267920379214,0.0014098779606723135,1,19,0.00015680262272298016,5.195559072102007e-05,1,
