phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
5,-0.001141136483747886,nan,0.0003361149174732931,nan
3,0.001699391390649678,-4.223056674507045e-08,-0.002851158567591019,-4.223055747640871e-08
1,0.001416470861419649,-1.946441177159307e-05,-0.00197403277334694,-1.946417634368264e-05
-0.5,0.006782875915001402,-0.001755461501413123,0.0002415136072073814,-0.001754125295190071
-1,-0.00577034059917245,-0.006945768439553467,-0.008266834380070053,-0.006926723522174996
-2,-0.04404838508234135,-0.04414123813325006,-0.04393013532785578,-0.04339183722774428
-3,-0.096316915804582,-0.09452576817391931,-0.08862251557556107,-0.09052090317937837
-4,-0.1291080201603779,-0.131140594630691,-0.122350625980642,-0.1218468475109166
-5,-0.1535268195813966,-0.1534487195874713,-0.1367560965079319,-0.1387166552032827
-6.5,-0.1740483836654542,-0.1700790393653453,-0.1555932016290867,-0.1502819386118076
-8,-0.1772741019524449,-0.176660452044526,-0.1528776173773903,-0.1561337029445883
-10,-0.1757277909668494,-0.1798719846698869,-0.1605082047918878,-0.1615899281900031
-11.5,-0.1822277586437279,-0.1809915407800793,-0.1646071150983955,-0.1648953619066063
-13,-0.1802902349427793,-0.1817641847889672,-0.1690366344975062,-0.1677130164153005
-15,-0.1810936684432379,-0.1825535047406487,-0.1722539525883557,-0.1708312236487303
-17,-0.1876255595552562,-0.1831931804960794,-0.1722801995403773,-0.1733295747397178
-20,-0.1830705027886087,-0.184007995668686,-0.1784336333131042,-0.1761178853005636
-22,-0.1842926944225618,-0.1845000476903431,-0.1820565244174584,-0.1774340338430955
-28,-0.1848434453565268,-0.1858490133628374,-0.1760466641295843,-0.1792258324182169
-35,-0.191391009994463,-0.1872733477752077,-0.176565332119038,-0.1787270396440652
-41,-0.1861803925654054,-0.1884104572078271,-0.1776653751496126,-0.1777029749181146
-46.5,-0.1900497260303669,-0.1894027037074032,-0.1770598533294643,-0.1767186271465936
