phi_applied,target_flux,simulated_flux
0,-0.02515453057548437,-0.01753027262264467
0.002857142857142857,-0.04473871622461447,-0.03236485850307165
0.005714285714285714,-0.05197771101439711,-0.04719353564549174
0.008571428571428572,-0.07182672909775627,-0.06205052304265968
0.01142857142857143,-0.07784009741082443,-0.07697251469887031
0.01428571428571429,-0.08710637729653425,-0.09200016173556463
0.01714285714285714,-0.1057191475453109,-0.1071798329300363
0.02,-0.1213802459387327,-0.122557988410005
0.02285714285714286,-0.1285816667601844,-0.1382145399642394
0.02571428571428571,-0.1489631414500016,-0.1542223699346197
0.02857142857142857,-0.1506549810049911,-0.1706816188489796
0.03142857142857143,-0.1823626266749125,-0.1877208888039176
0.03428571428571429,-0.2050748828631827,-0.2055012156633052
0.03714285714285714,-0.2213425316017353,-0.2242695809891957
0.04,-0.2334354465311084,-0.2443363824448959
