noise_model,grid_name,n_voltages,sv_min,cond_F,ridge_cos,weak_log_k0_1,weak_log_k0_2,weak_alpha_1,weak_alpha_2,weak_log_k0_1_abs
global_max,G0_current,7,2.5100616146166828,17936906.94196887,0.03079363538390727,0.9993674447098045,0.03077714581279706,-0.01778375947387133,-0.0011025646416763007,0.9993674447098045
global_max,G1_add_zero,8,2.511907765683339,17911543.456696775,0.030792390291175642,0.999367491528224,0.030775908294334617,-0.017783293017013486,-0.0011021954068559435,0.999367491528224
global_max,G2_densify_R1_onset,10,2.538856130498415,17533422.698655307,0.03082866552525837,0.9993660110578696,0.030811931749349777,-0.01780333911426971,-0.0011144148861126516,0.9993660110578696
global_max,G3_add_mild_negative,11,0.21582639537133122,777017890.9640183,0.04348642313314897,0.9986764466476441,0.043324352426841455,-0.026515481086445213,-0.008079892374551508,0.9986764466476441
global_max,G4_add_strong_negative,10,2.538856130498415,17533422.698655307,0.03082866552525837,0.9993660110578696,0.030811931749349777,-0.01780333911426971,-0.0011144148861126516,0.9993660110578696
global_max,G_best_candidate,11,0.21582639537133122,777017890.9640183,0.04348642313314897,0.9986764466476441,0.043324352426841455,-0.026515481086445213,-0.008079892374551508,0.9986764466476441
local_rel,G0_current,7,66.8999461914963,703327.1881639444,0.05560430661152678,0.9982268032070669,0.055544952015665436,-0.02113233531230381,-0.003381134251313967,0.9982268032070669
local_rel,G1_add_zero,8,66.90004443357779,703326.548310824,0.055602508068395874,0.9982269077778211,0.05554315607534724,-0.021132138776939268,-0.0033809927878438463,0.9982269077778211
local_rel,G2_densify_R1_onset,10,67.67473818501678,687462.1233668163,0.09329208426053986,0.9953161926411523,0.09318280728723723,-0.025001682327838955,-0.006128374431064889,0.9953161926411523
local_rel,G3_add_mild_negative,11,68.05047731511755,687675.7356493742,0.08563899700348772,0.9960183695383138,0.08553647538357974,-0.024455922352734256,-0.005729466211650971,0.9960183695383138
local_rel,G4_add_strong_negative,10,67.67473818501678,687462.1233668163,0.09329208426053986,0.9953161926411523,0.09318280728723723,-0.025001682327838955,-0.006128374431064889,0.9953161926411523
local_rel,G_best_candidate,11,68.05047731511755,687675.7356493742,0.08563899700348772,0.9960183695383138,0.08553647538357974,-0.024455922352734256,-0.005729466211650971,0.9960183695383138
