phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
P1 (PDE shallow),9.49932953e-04,3.42138836e-05,0.732639,0.623933,24.7970,34.9936,16.8483,24.7866,4.516978262771e-05,622.5
P2 (PDE full cathodic),9.02305521e-04,3.73618438e-05,0.754219,0.629911,28.5675,29.0125,20.2901,25.9823,8.419366991471e-05,334.4
