# Slide-15 'Current density of H2O2 production' (Cs2SO4, pH 4, RRDE)
# v2 precision extraction from ORIGINAL VECTOR SVG (not pixel eyeball)
# source_svg: data/EChem Reactor Modeling-Seitz-Mangan/Yash-Trends/Results/experimental only.svg
# source_svg_sha256: 001841c9e436b748aab7b2f59d4b9e09f6186a98936ebe88202c603ea34f2b6e
# data_path: id=path136, stroke #bf00bf, absolute coords, no transforms
# extraction_date: 2026-06-09
# calibration: x ticks -0.50..1.25 step 0.25; y ticks 0.0..-0.6 step -0.1
# calibration_max_residual: x 2.23e-09 V, y 1.05e-09 mA/cm2
# provenance (Yash plotting.ipynb): j_H2O2 = J_ring_LSV_bl*0.11/(0.224*0.196);
#   j_ring<0.001 zeroed (exact-0 tail is THRESHOLDED, not measured 0);
#   V = iR-corrected disk potential vs RHE; 1 outlier deleted; first 1200
#   sorted points plotted; matplotlib path-simplification retains 754.
# sign convention: cathodic negative (as plotted)
V_RHE_V,j_h2o2_mA_cm2
-0.07537,-0.31199
-0.07345,-0.32155
-0.07258,-0.31176
-0.07164,-0.31356
-0.07077,-0.31638
-0.06982,-0.31756
-0.06879,-0.31054
-0.06785,-0.32547
-0.06703,-0.31103
-0.06526,-0.32180
-0.06429,-0.32315
-0.06336,-0.31661
-0.06244,-0.33160
-0.06158,-0.31855
-0.06059,-0.31574
-0.05971,-0.32358
-0.05884,-0.32202
-0.05792,-0.32840
-0.05620,-0.32028
-0.05435,-0.32619
-0.05338,-0.31869
-0.05250,-0.32393
-0.05160,-0.33544
-0.05070,-0.31815
-0.04980,-0.32190
-0.04892,-0.32823
-0.04719,-0.33090
-0.04534,-0.32475
-0.04444,-0.31906
-0.04358,-0.31912
-0.04269,-0.32663
-0.04178,-0.32573
-0.04084,-0.32092
-0.03993,-0.31933
-0.03908,-0.32552
-0.03811,-0.33690
-0.03724,-0.32040
-0.03549,-0.33490
-0.03454,-0.33261
-0.03368,-0.31783
-0.03271,-0.33014
-0.03176,-0.32781
-0.03083,-0.31760
-0.03001,-0.33445
-0.02906,-0.32784
-0.02809,-0.32833
-0.02721,-0.33207
-0.02633,-0.34259
-0.02457,-0.33907
-0.02364,-0.34135
-0.02268,-0.33019
-0.02179,-0.34659
-0.02003,-0.34253
-0.01912,-0.32938
-0.01811,-0.33741
-0.01715,-0.33569
-0.01536,-0.34251
-0.01446,-0.34007
-0.01351,-0.34879
-0.01258,-0.34413
-0.01082,-0.34197
-0.00985,-0.34325
-0.00896,-0.33646
-0.00807,-0.34227
-0.00713,-0.35308
-0.00623,-0.34029
-0.00532,-0.34632
-0.00436,-0.34382
-0.00346,-0.34578
-0.00256,-0.34904
-0.00164,-0.34332
-0.00068,-0.34470
0.00019,-0.35895
0.00108,-0.34452
0.00199,-0.34776
0.00289,-0.34686
0.00383,-0.35314
0.00474,-0.33785
0.00656,-0.34447
0.00757,-0.34375
0.00852,-0.34754
0.00939,-0.34667
0.01030,-0.34236
0.01209,-0.34681
0.01307,-0.34112
0.01395,-0.35468
0.01580,-0.34733
0.01675,-0.34281
0.01861,-0.35383
0.01948,-0.34971
0.02042,-0.35306
0.02137,-0.35314
0.02226,-0.36772
0.02324,-0.34485
0.02411,-0.34209
0.02507,-0.34984
0.02599,-0.34826
0.02691,-0.34372
0.02789,-0.35033
0.02884,-0.34144
0.02969,-0.35290
0.03059,-0.35576
0.03159,-0.33688
0.03256,-0.34369
0.03340,-0.35815
0.03434,-0.34971
0.03528,-0.35526
0.03618,-0.35692
0.03710,-0.35357
0.03805,-0.34275
0.03900,-0.35049
0.03991,-0.34914
0.04091,-0.35063
0.04183,-0.35787
0.04274,-0.36005
0.04448,-0.34542
0.04543,-0.34678
0.04638,-0.35399
0.04727,-0.35010
0.04820,-0.35140
0.04917,-0.36795
0.05198,-0.35370
0.05291,-0.36623
0.05381,-0.35090
0.05478,-0.35049
0.05573,-0.35377
0.05665,-0.34615
0.05754,-0.36091
0.05844,-0.36608
0.05942,-0.35971
0.06122,-0.36118
0.06215,-0.34916
0.06316,-0.34677
0.06497,-0.35408
0.06591,-0.34933
0.06780,-0.36047
0.06883,-0.35432
0.06970,-0.35492
0.07064,-0.35731
0.07157,-0.35647
0.07342,-0.34641
0.07440,-0.33970
0.07528,-0.35948
0.07620,-0.35328
0.07720,-0.34147
0.07816,-0.35493
0.07906,-0.34993
0.07998,-0.34867
0.08090,-0.35406
0.08272,-0.34924
0.08371,-0.35278
0.08461,-0.34990
0.08559,-0.34905
0.08651,-0.35632
0.08741,-0.35340
0.08837,-0.34514
0.08924,-0.36121
0.09021,-0.34659
0.09121,-0.34181
0.09211,-0.34625
0.09309,-0.34595
0.09401,-0.35722
0.09488,-0.35474
0.09583,-0.34837
0.09676,-0.36275
0.09768,-0.36288
0.09862,-0.34570
0.09952,-0.36117
0.10045,-0.36241
0.10140,-0.36835
0.10233,-0.34110
0.10330,-0.36538
0.10422,-0.35363
0.10515,-0.35087
0.10605,-0.35004
0.10703,-0.36815
0.10801,-0.36122
0.10891,-0.36151
0.10989,-0.35915
0.11175,-0.36285
0.11267,-0.36057
0.11366,-0.36446
0.11459,-0.35280
0.11545,-0.35688
0.11644,-0.36430
0.11737,-0.36414
0.11835,-0.35122
0.11923,-0.36164
0.12010,-0.35723
0.12110,-0.34927
0.12296,-0.36590
0.12386,-0.35764
0.12570,-0.35193
0.12755,-0.34218
0.12945,-0.35288
0.13033,-0.35383
0.13131,-0.34623
0.13227,-0.35168
0.13320,-0.34970
0.13409,-0.34287
0.13593,-0.36475
0.13685,-0.35523
0.13782,-0.35562
0.13875,-0.35981
0.13959,-0.35993
0.14055,-0.35111
0.14160,-0.34774
0.14444,-0.36186
0.14622,-0.34923
0.14718,-0.35182
0.14808,-0.36108
0.14990,-0.34681
0.15087,-0.34954
0.15183,-0.35014
0.15277,-0.35343
0.15371,-0.34279
0.15468,-0.34082
0.15558,-0.35145
0.15650,-0.34932
0.15843,-0.33340
0.15931,-0.34428
0.16026,-0.33207
0.16120,-0.34506
0.16216,-0.34712
0.16303,-0.33034
0.16493,-0.34422
0.16582,-0.34239
0.16673,-0.33040
0.16767,-0.33681
0.16864,-0.32976
0.16964,-0.32852
0.17059,-0.34692
0.17146,-0.32573
0.17244,-0.32951
0.17335,-0.33856
0.17430,-0.33689
0.17525,-0.32947
0.17613,-0.34363
0.17704,-0.32663
0.17804,-0.33244
0.17897,-0.33187
0.17987,-0.33494
0.18076,-0.33585
0.18170,-0.32993
0.18269,-0.31987
0.18451,-0.34073
0.18548,-0.32238
0.18639,-0.32185
0.18735,-0.33734
0.18830,-0.31429
0.18928,-0.31606
0.19024,-0.33262
0.19115,-0.31786
0.19214,-0.32018
0.19310,-0.33944
0.19402,-0.31613
0.19502,-0.31908
0.19589,-0.31994
0.19789,-0.31102
0.19879,-0.32431
0.19971,-0.32464
0.20068,-0.32755
0.20159,-0.32613
0.20257,-0.31407
0.20360,-0.30903
0.20451,-0.32568
0.20544,-0.32500
0.20647,-0.32192
0.20744,-0.32382
0.20842,-0.31414
0.20931,-0.31732
0.21021,-0.32703
0.21121,-0.32106
0.21221,-0.30972
0.21318,-0.32572
0.21414,-0.31423
0.21508,-0.31494
0.21606,-0.31893
0.21691,-0.31330
0.21792,-0.31246
0.21890,-0.32031
0.21980,-0.31689
0.22078,-0.30952
0.22167,-0.31935
0.22265,-0.30311
0.22368,-0.31302
0.22465,-0.31444
0.22572,-0.30740
0.22665,-0.30789
0.22754,-0.31657
0.22851,-0.30740
0.22954,-0.30412
0.23049,-0.31049
0.23145,-0.31257
0.23241,-0.30836
0.23344,-0.32431
0.23545,-0.30882
0.23640,-0.32593
0.23747,-0.30897
0.23944,-0.32446
0.24144,-0.31476
0.24245,-0.31570
0.24347,-0.31968
0.24444,-0.32111
0.24651,-0.31511
0.24757,-0.31985
0.24853,-0.32055
0.24958,-0.31953
0.25057,-0.31993
0.25164,-0.32845
0.25265,-0.32751
0.25371,-0.32784
0.25476,-0.33707
0.25682,-0.31866
0.25790,-0.33046
0.25893,-0.32443
0.26003,-0.32418
0.26098,-0.33407
0.26207,-0.33380
0.26301,-0.33019
0.26413,-0.33731
0.26519,-0.32713
0.26622,-0.32689
0.26719,-0.33344
0.26820,-0.33627
0.26921,-0.33340
0.27016,-0.33648
0.27120,-0.32459
0.27217,-0.33126
0.27317,-0.32757
0.27417,-0.32125
0.27511,-0.32144
0.27605,-0.32684
0.27788,-0.31816
0.27880,-0.32696
0.27975,-0.31894
0.28061,-0.32225
0.28242,-0.31346
0.28324,-0.31593
0.28492,-0.30291
0.28662,-0.30308
0.28742,-0.29673
0.28822,-0.29514
0.28898,-0.29244
0.28977,-0.29228
0.29058,-0.28059
0.29127,-0.28251
0.29198,-0.27120
0.29274,-0.27335
0.29501,-0.26300
0.29567,-0.26385
0.29641,-0.25648
0.29706,-0.24390
0.29840,-0.25149
0.30166,-0.22877
0.30235,-0.22804
0.30361,-0.21954
0.30424,-0.21235
0.30489,-0.21347
0.30547,-0.19948
0.30667,-0.20448
0.30786,-0.19244
0.30849,-0.18723
0.30905,-0.18927
0.31017,-0.17792
0.31074,-0.17924
0.31698,-0.14419
0.31761,-0.14132
0.32007,-0.13148
0.32073,-0.12800
0.32138,-0.12786
0.32199,-0.12191
0.32269,-0.12245
0.32332,-0.11973
0.32411,-0.11944
0.32481,-0.11440
0.32546,-0.11530
0.32622,-0.11073
0.32696,-0.11054
0.32852,-0.10559
0.32926,-0.10489
0.33004,-0.10380
0.33081,-0.10049
0.33160,-0.10159
0.33240,-0.09652
0.33318,-0.09963
0.33400,-0.09371
0.33475,-0.09476
0.33559,-0.09125
0.33638,-0.09055
0.33802,-0.08757
0.33963,-0.08478
0.34044,-0.08474
0.34119,-0.08126
0.34200,-0.08081
0.34281,-0.07759
0.34363,-0.07873
0.34443,-0.07818
0.34519,-0.07654
0.34597,-0.07248
0.34673,-0.07450
0.34756,-0.06889
0.34833,-0.07087
0.34911,-0.06734
0.34990,-0.06762
0.35067,-0.06435
0.35152,-0.06712
0.35233,-0.06251
0.35314,-0.06365
0.35389,-0.05978
