# source=data/EChem Reactor Modeling-Seitz-Mangan/Brianna/0,1M K2SO4 data 8-15-19.xlsx sheet='cycle 2' (descending sweep 0:1053 of 2105 rows)
# A_d=0.19634954084936207 cm2, A_r=0.10995574287564275 cm2, N=0.224, Rs=125.0 ohm, ref_cal=-0.549 V
# ring baseline 0.003526 mA/cm2_ring subtracted from j_ring (spread 0.000202, region V_phys [0.60,1.00])
# disk LSV background bg(V) = 0.14112*V + -0.39249 (anchored [0.65,1.00], MAD 0.00099) subtracted: j_disk = j_disk_raw - bg; sig_bg = extrapolation uncertainty
# v_phys = V_cal - I*Rs (physical); v_sheet = V_cal + I*Rs (workbook 'iR New', nonstandard sign)
# j units mA/cm2 (disk: disk area, cathodic-neg; ring: ring area, anodic-pos); pc_equiv = -j_ring*A_r/(N*A_d) [mA/cm2_disk] PLOTS ONLY
v_phys,v_sheet,v_cal,j_disk,j_disk_raw,sig_bg,j_ring_raw,j_ring,pc_equiv,sel_canon,ne_canon
1.0536495,1.0438075,1.0487285,0.043300654,-0.20049899,0.00099376844,0.0042013075,0.00067540123,-0.0016885031,7.5062668,3.8498747
1.0527072,1.0427803,1.0477437,0.041704749,-0.20222788,0.00099376844,0.0041801884,0.00065428214,-0.0016357053,7.5481689,3.8490366
1.0517531,1.041701,1.0467271,0.03928774,-0.20477953,0.00099376844,0.0041079776,0.00058207135,-0.0014551784,7.1432211,3.8571356
1.050851,1.0407289,1.0457899,0.037988793,-0.20620578,0.00099376844,0.0043372469,0.00081134065,-0.0020283516,10.137413,3.7972517
1.0498373,1.0396033,1.0447203,0.035852745,-0.20848488,0.00099376844,0.0041584748,0.00063256856,-0.0015814214,8.4490803,3.8310184
1.0488827,1.0385649,1.0437238,0.034279877,-0.21019247,0.00099376844,0.0043772352,0.000851329,-0.0021283225,11.691446,3.7661711
1.0479264,1.0375217,1.0427241,0.032644913,-0.21196238,0.00099376844,0.0042863757,0.00076046944,-0.0019011736,11.006593,3.7798681
1.046971,1.0364989,1.041735,0.03140617,-0.21333595,0.00099376844,0.0043324762,0.00080656994,-0.0020164248,12.066237,3.7586753
1.0460586,1.0355159,1.0407873,0.030095008,-0.21477587,0.00099376844,0.0043027746,0.00077686838,-0.0019421709,12.124482,3.7575104
1.045062,1.0344601,1.0397611,0.029032138,-0.21597938,0.00099376844,0.0043103184,0.00078441221,-0.0019610305,12.654599,3.746908
1.0441233,1.0334418,1.0387825,0.027541089,-0.2176029,0.00099376844,0.0043219827,0.00079607643,-0.0019901911,13.478529,3.7304294
1.0431029,1.0323398,1.0377214,0.02602393,-0.21926406,0.00099376844,0.0045316228,0.0010057166,-0.0025142914,17.620519,3.6475896
1.0421528,1.0313266,1.0367397,0.024872173,-0.2205499,0.00099376844,0.0040947848,0.00056887857,-0.0014221964,10.817498,3.78365
1.0411734,1.0303129,1.0357432,0.024312547,-0.22124774,0.00099376844,0.0041748973,0.00064899105,-0.0016224776,12.511865,3.7497627
1.04016,1.0292167,1.0346884,0.022769571,-0.22293373,0.00099376844,0.0039940482,0.00046814196,-0.0011703549,9.7774313,3.8044514
1.0392337,1.0282942,1.033764,0.022975455,-0.22285856,0.00099376844,0.0039659858,0.00044007961,-0.001100199,9.1395151,3.8172097
1.0382399,1.0271784,1.0327092,0.020631317,-0.22534295,0.00099376844,0.0040502743,0.00052436805,-0.0013109201,11.948828,3.7610234
1.0372586,1.026207,1.0317328,0.020969862,-0.22514288,0.00099376844,0.0040154921,0.00048958583,-0.0012239646,11.029775,3.7794045
1.0363482,1.0252092,1.0307787,0.019318544,-0.22692268,0.00099376844,0.0042080543,0.0006821481,-0.0017053702,16.223147,3.6755371
1.0353159,1.0241658,1.0297408,0.019238856,-0.22714805,0.00099376844,0.0042867709,0.00076086462,-0.0019021615,17.994986,3.6401003
1.0343441,1.0231317,1.0287379,0.018106405,-0.22841763,0.00099376844,0.0040700202,0.00054411395,-0.0013602849,13.975513,3.7204897
1.0333084,1.0221024,1.0277054,0.018385215,-0.228285,0.00099376844,0.0040723931,0.00054648686,-0.0013662172,13.834107,3.7233179
1.0323472,1.0210366,1.0266919,0.016388849,-0.230417,0.00099376844,0.0041658633,0.00063995703,-0.0015998926,17.787709,3.6442458
1.0313752,1.0200623,1.0257188,0.01647933,-0.23046369,0.00099376844,0.0041258566,0.00059995042,-0.001499876,16.684564,3.6663087
1.0304237,1.0190356,1.0247297,0.015080659,-0.23199663,0.00099376844,0.0042012265,0.00067532024,-0.0016883006,20.13602,3.5972796
1.0294677,1.0180876,1.0237777,0.015378986,-0.23183322,0.00099376844,0.0039976768,0.00047177055,-0.0011794264,14.245646,3.7150871
1.028466,1.0170072,1.0227366,0.013917531,-0.23343604,0.00099376844,0.004192721,0.00066681479,-0.001667037,21.393432,3.5721314
1.0274586,1.0160238,1.0217412,0.014547729,-0.232948,0.00099376844,0.0041265083,0.00060060207,-0.0015015052,18.711237,3.6257753
1.0265054,1.0149734,1.0207394,0.012702355,-0.2349279,0.00099376844,0.0040558904,0.00052998417,-0.0013249604,18.891148,3.622177
1.0254966,1.0139678,1.0197322,0.012910623,-0.23486199,0.00099376844,0.0038686055,0.00034269923,-0.00085674806,12.446066,3.7510787
1.0245512,1.0129437,1.0187475,0.011439282,-0.23646675,0.00099376844,0.0039193107,0.00039340448,-0.00098351119,15.833978,3.6833204
1.0235121,1.0119388,1.0177255,0.012282293,-0.23577037,0.00099376844,0.0038646182,0.00033871198,-0.00084677996,12.899311,3.7420138
1.0225396,1.0108843,1.016712,0.010749819,-0.23744009,0.00099376844,0.0039768057,0.00045089947,-0.0011272487,18.981936,3.6203613
1.0215112,1.009907,1.0157091,0.011937795,-0.23639725,0.00099376844,0.0038918074,0.00036590114,-0.00091475285,14.234576,3.7153085
1.0205437,1.0088305,1.0146871,0.0098530904,-0.23861848,0.00099376844,0.0041517089,0.00062580264,-0.0015645066,27.405182,3.4518964
1.019546,1.0078839,1.013715,0.011033228,-0.23757914,0.00099376844,0.003913332,0.00038742573,-0.00096856433,16.140329,3.6771934
1.0186333,1.0068588,1.0127461,0.0088719037,-0.23986926,0.00099376844,0.0035489218,2.3015573e-05,-5.7538934e-05,1.2887464,3.9742251
1.0176119,1.0058767,1.0117443,0.0098172697,-0.23906804,0.00099376844,0.0040564232,0.00053051699,-0.0013262925,23.803743,3.5239251
1.0166548,1.0048385,1.0107467,0.0082994069,-0.24072097,0.00099376844,0.0043437621,0.00081785592,-0.0020446398,39.532687,3.2093463
1.015636,1.0038733,1.0097547,0.0095354624,-0.23962869,0.00099376844,0.0042621531,0.0007362469,-0.0018406172,32.35943,3.3528114
1.0146986,1.0028299,1.0087642,0.007510787,-0.24178566,0.00099376844,0.0037752748,0.00024936855,-0.00062342138,15.328385,3.6934323
1.0136612,1.0018446,1.0077529,0.0087157598,-0.24072708,0.00099376844,0.0035777367,5.1830434e-05,-0.00012957608,2.9298172,3.9414037
