evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.0876433874687766,0.011170328762637871,0.022901058779222203,0.02548008512298978,0,0,5.0,5.0,0
2,0,4.9888296712373625,4.977098941220778,0.0869941601913451,0.011154282064849218,0.022908172671302178,0.02547945022013648,0,0,4.9888296712373625,4.977098941220778,0
3,1,2.3139168449627627,1e-06,1000000000.1605023,-0.010452699310602283,-2.2414218683142004,2.241446240863251,1,0,2.3139168449627627,1e-06,0
4,1,4.98882967117323,4.977098941101449,0.0869941601878961,0.011154282064769861,0.022908172671331984,0.025479450220128538,0,0,4.98882967117323,4.977098941101449,0
5,1,3.6513732580679963,2.4885499705507246,0.019261539203451417,0.007333659905675423,0.01861019481484551,0.02000304773424825,0,0,3.6513732580679963,2.4885499705507246,0
6,2,1e-06,1e-06,3000000000.1765604,-0.0835383675201001,-0.8579543243779792,0.862011764169607,3,0,1e-06,1e-06,0
7,2,3.65137325805317,2.4885499705406198,0.01926153920315461,0.007333659905644284,0.01861019481475152,0.020003047734149387,0,0,3.65137325805317,2.4885499705406198,0
8,2,1.825687129026585,1.24427548527031,0.0029839075162886195,-0.0024021674681414455,-0.012630839609177606,0.012857236008480476,0,0,1.825687129026585,1.24427548527031,0
9,3,1.8280892964947264,1.2569063248794876,0.0028222575073378674,-0.0022671159724827602,-0.012079193371246265,0.012290106888576931,0,0,1.8280892964947264,1.2569063248794876,0
10,3,1.8376979663672919,1.3074296833161982,0.0022464000504316263,-0.0017391541492894158,-0.009984155232165875,0.010134496181605468,0,0,1.8376979663672919,1.3074296833161982,0
11,4,1.8654586551598256,1.546606032993145,0.00082939239289219,0.00045480696880007107,-0.0021910176830578715,0.0022377238136868883,0,0,1.8654586551598256,1.546606032993145,0
12,5,1.8432059397733969,1.618494338003718,0.0007150645612686247,0.0009442884726769088,-0.0005847588988304787,0.0011106861345096207,0,0,1.8432059397733969,1.618494338003718,0
13,6,1.7826369548981067,1.6762046567999354,0.0006418099713820357,0.001177030804608651,0.00025907897344782673,0.0012052067994665764,0,0,1.7826369548981067,1.6762046567999354,0
14,7,1.5744105841328662,1.8004028296902388,0.0004712544175883922,0.0013522091229994922,0.001202679636009522,0.0018096706383193193,0,0,1.5744105841328662,1.8004028296902388,0
15,8,1.0496433893390298,2.0379215475716865,0.00019736572076761095,0.0006328792531108263,0.0010573555825037024,0.0012322893235234417,0,0,1.0496433893390298,2.0379215475716865,0
16,9,0.935649177514081,2.0449879177850963,0.00017071332713478437,-0.00011155519513149459,0.00013738419076179208,0.00017697168539655803,0,0,0.935649177514081,2.0449879177850963,0
17,10,1.0145757548418528,1.9959992107972246,0.00016271512061159449,1.645134056596865e-05,3.907090070561689e-05,4.239318209766354e-05,0,0,1.0145757548418528,1.9959992107972246,0
18,11,1.0166913917472606,1.9924923649593698,0.0001626668389334281,-7.872984718547699e-07,-2.1161191431388546e-06,2.257830620694027e-06,0,0,1.0166913917472606,1.9924923649593698,0
19,12,1.0165405534825551,1.9926952325699891,0.00016266668399507816,9.409528541111869e-09,1.0777743485629624e-08,1.4307305197277042e-08,0,0,1.0165405534825551,1.9926952325699891,0
20,13,1.0165390077929404,1.9926954508810757,0.0001626666839890509,4.792847067135338e-10,3.564087462253106e-10,5.972780127171734e-10,0,0,1.0165390077929404,1.9926954508810757,0
