phi_applied,target_current_density,simulated_current_density
-1,-0.007374144457341946,-0.00294715019193206
-2,-0.02721080290953057,-0.02360131903034422
-3,-0.06202917813359569,-0.06682245725214747
-4,-0.1079505401508511,-0.1068652306594613
-5,-0.1355706979747778,-0.1349646530250524
-6,-0.1532335800100119,-0.1529662464520525
-7,-0.1652563670807953,-0.1640904777100664
-8,-0.1683450563024825,-0.1708563981662244
-9,-0.1757782868892751,-0.1749438407753468
-10,-0.1775006558376629,-0.1774222136780523
