phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.00269985570150292,-0.002037117351984403,-0.002696409432577688
-2,-0.02340628769495274,-0.02244752710388318,-0.02094170364994419,-0.02222308930923453
-3,-0.06477056956628323,-0.06573723533719618,-0.06333339791782359,-0.06349485754703439
-4,-0.1069978687145439,-0.1067290340353049,-0.1025324149083589,-0.09933239791445239
-5,-0.1375463225152408,-0.1357743458938222,-0.1190684518165829,-0.121060768178349
-6,-0.1535713093831789,-0.1543530808057,-0.131373497521937,-0.1322840023846494
-7,-0.1621867293734878,-0.1655850751806423,-0.139417062760819,-0.1379168425408352
-8,-0.1696244956881482,-0.1721208689951633,-0.1403411774956293,-0.1411442213226145
-9,-0.1777534819190489,-0.175861117703764,-0.143362447225946,-0.1434508428677064
-10,-0.1814173452222933,-0.1780328189012061,-0.1456811764319968,-0.1454026053316103
