phi_applied,flux_noisy
-1,-0.002950451599463734
-2,-0.0398027219771305
-3,-0.09450886666502292
-4,-0.120647158718773
-5,-0.1412755317045104
-6.5,-0.1475850167937359
-8,-0.1598367319579946
-10,-0.1613957522676022
-11.5,-0.1707996268925194
-13,-0.1681679800299888
