phi_applied,target_flux,simulated_flux
0,0.1545895412785382,0.1524407115249576
0.002857142857142857,0.1499504706145573,0.1539136738136937
0.005714285714285714,0.1555169575239939,0.1559586333330719
0.008571428571428572,0.1646979225480372,0.1585602977843418
0.01142857142857143,0.1562517788728905,0.1617737707249166
0.01428571428571429,0.1649247345675664,0.1655989462011372
0.01714285714285714,0.1642295571857547,0.1700663420069507
0.02,0.1765591259950012,0.1752183701430848
0.02285714285714286,0.1846593318636233,0.1811128132568584
0.02571428571428571,0.1986698761776676,0.1878119553985033
0.02857142857142857,0.1978383431220442,0.1954550384204469
0.03142857142857143,0.2010541784769667,0.2041747425616501
0.03428571428571429,0.2112824160618776,0.2141711172099029
0.03714285714285714,0.2177890411091432,0.2257820830465302
0.04,0.243884563296662,0.239478077291259
