log_k0_1,log_k0_2,alpha_1,alpha_2
-3.139334625590350925e-08,1.402877813916347804e-08,-1.905531982204777819e-06,1.410329353301875699e-06
-2.619774716605682841e-06,1.077055111764479989e-10,-1.386738980591051273e-04,1.800892768244466424e-08
-4.694726812581873077e-04,-6.633582572135310329e-12,-1.885462170100882240e-02,6.129680096833567404e-09
-4.011350553528858498e-03,-4.315992008230296051e-12,-1.655902379550655557e-01,-1.951910855169103343e-09
-1.623379899298033058e-02,9.216842566939220660e-09,-6.065737812812471708e-01,2.547545507880499827e-09
