log_k0_1,log_k0_2,alpha_1,alpha_2
-2.783648238700874134e-05,2.783648364390462808e-05,-9.413077598317347002e-04,1.338530195828772570e-03
-2.161921990658389331e-07,2.161932887508556862e-07,-1.145281006844655106e-05,2.166136577352623539e-05
-9.149861125929206751e-10,1.666686530778780425e-09,-4.063671563317276542e-08,1.729028082513050287e-07
-1.267153603962502869e-09,7.494013988193232861e-11,-5.271294896213403122e-08,7.506402839463507080e-09
-4.901228343026696552e-09,-1.400327777182925476e-11,-1.831319120447586239e-07,1.482574662808790883e-09
