log_k0_1,log_k0_2,alpha_1,alpha_2
-2.783609822205269972e-05,2.783609951694944909e-05,-1.690159506366628204e-03,2.783648364298047136e-03
-2.162610142572856005e-07,2.162620920304780163e-07,-1.144721904465799585e-05,2.161932885025056260e-05
-1.788882173089315769e-09,1.734578967073807827e-09,-4.469873386695106567e-08,1.666687325803904718e-07
-1.312500384390664562e-09,7.491909856708299509e-11,-5.153323436518164949e-08,7.494478873756003912e-09
-4.843747434464290742e-09,-9.205343018948400520e-09,-1.809861144789072073e-07,-1.400295081711161460e-09
