phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, sym 12pt)",5.00000000e-03,5.00000000e-04,0.629213,0.134229,295.8333,850.0000,0.3530,73.1542,inf,171.8
"Phase 2 (multi-obs, cold k0)",1.49162302e-03,4.77593533e-05,0.569612,0.457474,18.0868,9.2572,9.1529,8.5052,5.290925703012e-05,696.0
"Phase 3 (multi-obs, full cat)",1.47309440e-03,5.58065136e-05,0.575881,0.441474,16.6200,6.0324,8.1529,11.7051,1.251257794814e-04,964.3
