phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
0,0,,1,22,2.2,0.0001597394763833195,1.410101314464063e-05,0.08826096701576938;0.08826096701576938,
0.002857142857142857,-0.01416698493446547,,1,22,2.2,0.0001647373036444737,1.481056173646689e-05,0.08132162533930623;0.0954886102737717,
0.005714285714285714,-0.02836890931262664,,1,22,2.2,0.0001701647852805986,1.55259304706612e-05,0.07465457526993162;0.1030234845825583,
0.008571428571428572,-0.04264209026743339,,1,22,2.2,0.0001761380125104964,1.624532550417723e-05,0.06824612008816819;0.1108882103556016,
0.01142857142857143,-0.05702570991838771,,1,22,2.2,0.0001828063277405273,1.696677523541079e-05,0.06208438985646991;0.1191100997748576,
0.01428571428571429,-0.07156353897379664,,1,22,2.2,0.00019036659767963,1.768811522254166e-05,0.05615894123193683;0.1277224802057335,
0.01714285714285714,-0.08629994066015428,,1,23,2.3,0.000145815580599713,1.34792548861784e-05,0.05045305970128752;0.1367530003614418,
0.02,-0.10130614029408,,1,23,2.3,0.0001532122747517429,1.399186533251884e-05,0.04497335618585861;0.1462794964799386,
0.02285714285714286,-0.1166502160811083,,1,23,2.3,0.0001620908314120537,1.449643473486195e-05,0.03970392485883535;0.1563541409399436,
0.02571428571428571,-0.1324239555757173,,1,23,2.3,0.0001730299036190468,1.499066721016851e-05,0.0346369061513724;0.1670608617270897,
0.02857142857142857,-0.1487456454113072,,1,23,2.3,0.0001869373965158849,1.547213875821574e-05,0.02976432389485491;0.1785099693061621,
0.03142857142857143,-0.165764467772595,,1,24,2.4,0.0001496782142476726,1.161656377257625e-05,0.02507391626568929;0.1908383840382842,
0.03428571428571429,-0.1837113233306369,,1,24,2.4,0.0001681180822837491,1.19280355969642e-05,0.02056385401970296;0.2042751773503398,
0.03714285714285714,-0.2028815440793796,,1,25,2.5,0.000142263070314566,8.88455924946685e-06,0.01621606700438867;0.2190976110837682,
0.04,-0.2237552196067596,,1,25,2.5,0.0001753023591341699,9.070087941043248e-06,0.01201990836611445;0.235775127972874,
