phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
0,0.1473495373044079,,1,22,2.2,0.0002018155809427829,1.646656521442358e-05,0.05718243319841682;0.09016710410599113,
0.002857142857142857,0.1496163838311261,,1,23,2.3,0.0001547269881440338,1.290329415895575e-05,0.05213291842100019;0.09748346541012588,
0.005714285714285714,0.1524601595991389,,1,23,2.3,0.0001593375468591851,1.353240890615559e-05,0.04737730324262867;0.1050828563565103,
0.008571428571428572,0.1558636709877073,,1,23,2.3,0.0001643722758270577,1.415757597821032e-05,0.04288713568924928;0.112976535298458,
0.01142857142857143,0.1598378148920571,,1,23,2.3,0.000169953120787704,1.477596933636971e-05,0.03864490683825102;0.121192908053806,
0.01428571428571429,0.164401592654785,,1,23,2.3,0.000176241933387659,1.538459287978022e-05,0.03463499227500885;0.1297666003797762,
0.01714285714285714,0.1695835565574006,,1,23,2.3,0.000183459217822934,1.598031177965642e-05,0.0308432873738028;0.1387402691835978,
0.02,0.1754240058940228,,1,23,2.3,0.000191913539879282,1.655987044876794e-05,0.02725690580651755;0.1481671000875053,
0.02285714285714286,0.1819782603657963,,1,23,2.3,0.0002020508444580243,1.711994798456185e-05,0.02386391893789592;0.1581143414279003,
0.02571428571428571,0.1893052542067097,,1,24,2.4,0.0001584651071635296,1.303959440213109e-05,0.02064984269248057;0.1686554115142291,
0.02857142857142857,0.1975402175783409,,1,24,2.4,0.0001699293770261084,1.339537157801773e-05,0.01761076567796154;0.1799294519003794,
0.03142857142857143,0.206808908816724,,1,24,2.4,0.0001851234666174478,1.372667988261411e-05,0.0147325825610188;0.1920763262557051,
0.03428571428571429,0.2173001024103092,,1,25,2.5,0.0001516092749079641,1.030852055985965e-05,0.01200277200467507;0.2052973304056341,
0.03714285714285714,0.2293322316631486,,1,25,2.5,0.0001745768699376891,1.049006640232997e-05,0.009413741279847773;0.2199184903833009,
0.04,0.2433368324222112,,1,26,2.6,0.0001557362717827296,7.790561622644798e-06,0.006949335712956653;0.2363874967092546,
