log_k0_1,log_k0_2,alpha_1,alpha_2
-3.131952752699618259e-08,1.410328936968241464e-08,-2.024744039097470250e-06,1.980993147299159318e-06
-2.619713099227816144e-06,1.800837257093235166e-10,-1.386899044775180556e-04,1.169003782663935453e-08
-4.166239029518292725e-04,6.130512764102036272e-11,-1.880358273882720699e-02,1.797867410502362873e-10
-4.012731769409416671e-03,-1.951910855169103343e-11,-1.655364922956703566e-01,-6.108308303609533141e-10
-1.622549674395942776e-02,2.547753674697617043e-11,-6.062570302999836791e-01,-3.325742459203695489e-10
