phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
3.892174481025757,-0.1628871835711899,-0.1629184957723893,-7.76180427612489e-10,-7.799168428115275e-10
1.946087240512878,-0.1693587368036689,-0.1693612123177578,-8.620865927110853e-09,-8.718025708041945e-09
0,-0.1732967888652812,-0.1732969675452281,-9.693677960702751e-08,-9.780220836992676e-08
-1.946087240512878,-0.1758294866688666,-0.1758294990484587,-1.097746061048397e-06,-1.104946095898219e-06
-3.892174481025757,-0.1775288004344356,-0.1775288006624516,-1.248286976859733e-05,-1.257099048761889e-05
-5.838261721538634,-0.1787414632122399,-0.1787414629443625,-0.0001420332403398673,-0.0001423125392011971
-7.784348962051514,-0.1796789293691227,-0.1796789325640472,-0.001583758157654494,-0.001585442723074362
-11.67652344307727,-0.1813329994245561,-0.1813330008377858,-0.06499947061195883,-0.0650024451089193
-15.56869792410303,-0.1828290536199426,-0.1828290225902648,-0.1637409184403711,-0.1637342231530439
-19.46087240512878,-0.1839047658607594,-0.183904757477183,-0.1811200868569196,-0.1811185487002747
