phi_applied,flux_noisy
5,-0.0008345123867510431
3,-0.001605792180865258
1,-0.003091823945419353
-0.5,-0.004432607077403046
-1,-0.002950451599463734
-2,-0.0398027219771305
-3,-0.09450886666502292
-4,-0.120647158718773
-5,-0.1412755317045104
-6.5,-0.1475850167937359
-8,-0.1598367319579946
-10,-0.1613957522676022
-11.5,-0.1707996268925194
-13,-0.1681679800299888
-15,-0.1687455033506974
-17,-0.1742622138390196
-20,-0.1789050598892536
-22,-0.1753757866182431
-28,-0.1767598894594152
-35,-0.1774658693527574
-41,-0.1741851443574048
-46.5,-0.1767044958639797
