phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.003120085581588426,0.001060649073003794,-0.003116210975460546
-2,-0.02731067792811635,-0.02372265266674893,-0.02145874608431169,-0.02351031136229662
-3,-0.06192220497036547,-0.06629393476566257,-0.0659568448718815,-0.0643548593001812
-4,-0.1079666903307231,-0.1062803556474726,-0.09962180675297472,-0.1000168813407781
-5,-0.1355576318871053,-0.1348465634971956,-0.123516153031586,-0.1223229899878233
-6.5,-0.1594981433550219,-0.1597830893147413,-0.1377145193184194,-0.1378187348034246
-8,-0.1717302207076256,-0.1715128543517968,-0.1427989098651135,-0.1438025974564942
-10,-0.1741329113819234,-0.1777462077716464,-0.1491318453205951,-0.1480462020878241
-11.5,-0.1797507782306107,-0.1796722186777703,-0.1480183949925786,-0.1505736310632315
-13,-0.180369925053021,-0.1807894149913545,-0.1547720844454233,-0.1528878281873064
