phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,max_err_pct,loss,time_s
Phase 2 (BCD),1.16791111e-03,3.84174636e-05,0.621423,0.495193,7.5404,27.0068,0.8895,0.9614,27.0068,1.415362715183e-04,0.1
Phase 3 (joint polish),1.16986874e-03,4.09982947e-05,0.646005,0.520885,7.3854,22.1032,3.0311,4.1770,22.1032,1.302729031070e-04,0.0
