evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.0057951890251808896,-0.00025710401304540175,0.0026812563538295055,0.0026935549202633953,0,0,5.0,5.0,0
2,0,5.000257104013046,4.99731874364617,0.0057878829875376205,-0.0002727620783910464,0.002694045085271043,0.0027078179541618497,0,0,5.000257104013046,4.99731874364617,0
3,1,5.000529866091437,4.9946246985609,0.005780560634237365,-0.0002673043170184073,0.0026856877397715448,0.002698957249282742,0,0,5.000529866091437,4.9946246985609,0
4,1,5.001620914405002,4.983848518219817,0.00575152580865711,-0.0002438854361470216,0.0026505632541321718,0.0026617598821306837,0,0,5.001620914405002,4.983848518219817,0
5,1,5.005985107659264,4.940743796855488,0.00563950306306255,-0.0001487107571533526,0.0025068357920403498,0.0025112428352406886,0,0,5.005985107659264,4.940743796855488,0
6,1,5.023441880676309,4.768324911398169,0.005259546150554997,0.0002370493125895751,0.0018975970468146752,0.001912345922859922,0,0,5.023441880676309,4.768324911398169,0
7,2,4.79375320611249,4.0826053656856995,0.004508146492318281,0.0015410407780743684,-0.0004635601918384969,0.0016092528487299312,0,0,4.79375320611249,4.0826053656856995,0
8,3,4.49512947266138,3.9024013019948898,0.004129732644926521,0.0016531298994132179,-0.0006407315577727938,0.0017729566812135899,0,0,4.49512947266138,3.9024013019948898,0
9,3,3.3006345388569374,3.1815850472316507,0.0026153903131105097,0.0021700786113996455,-0.001511049050877551,0.0026443355335153975,0,0,3.3006345388569374,3.1815850472316507,0
10,3,1.0000000000078526e-06,1.189822471690834,0.00302556110255696,-0.006570478558356966,-0.0034203028780852096,0.007407405771501019,0,0,1.0000000000078526e-06,1.189822471690834,0
11,3,1.5088569761173571,2.100339446608455,0.0006190345941225448,0.0028065924482778616,-0.0033989749973562834,0.004407946483724986,0,0,1.5088569761173571,2.100339446608455,0
12,4,1e-06,1.7437341131684478,0.005996586740047918,-0.02161762899434626,0.011963484445197563,0.024707222494802693,0,0,1e-06,1.7437341131684478,0
13,4,1.0414360681596149,1.9898684729851004,1.360842834720079e-05,0.0005123498330733663,-0.0006238618951995181,0.0008072831075479289,0,0,1.0414360681596149,1.9898684729851004,0
14,5,0.9487308315566977,1.9746893038058908,4.114980494501001e-06,-0.00025079567054033024,0.00017756929107746056,0.0003072935428796475,0,0,0.9487308315566977,1.9746893038058908,0
15,6,1.1746176248586861,2.1641376002632793,5.372069973528053e-05,-0.00012505378385756306,0.000749224315545443,0.0007595890493297226,0,0,1.1746176248586861,2.1641376002632793,0
16,6,0.981508231104442,2.0021792797175046,2.4641899954219756e-06,-0.00022374332291976096,0.0002669962868950878,0.00034835053002247674,0,0,0.981508231104442,2.0021792797175046,0
17,7,1.0042152008501257,1.9952431857891093,4.018570332094041e-07,8.814214844353155e-05,-0.0001111790819265562,0.0001418796200667081,0,0,1.0042152008501257,1.9952431857891093,0
18,8,0.9988962041014258,1.998188041368848,1.244252643677225e-09,8.775565555999761e-07,-5.840243452419024e-08,8.79497784326286e-07,0,0,0.9988962041014258,1.998188041368848,0
