phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, surrogate)",5.00000000e-03,5.00000000e-04,0.373730,0.149981,295.8333,850.0000,40.3940,70.0039,5.466703226356e-04,0.0
Phase 2 (joint shallow surr),1.35520250e-03,4.75768745e-05,0.598912,0.476913,7.2869,9.6039,4.4797,4.6175,6.190619831788e-05,0.0
Phase 3 (PDE refine),1.46762641e-03,4.58577499e-05,0.574834,0.465497,16.1871,12.8703,8.3199,6.9006,5.297413138343e-05,101.3
