phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002700924133071207,-0.002037117351984403,-0.002697469424793522
-2,-0.02340628769495274,-0.02245201746449971,-0.02094170364994419,-0.02222717978423367
-3,-0.06477056956628323,-0.06574190832799626,-0.06333339791782359,-0.06349666717860238
-4,-0.1069978687145439,-0.1067320008925541,-0.1025324149083589,-0.09932860452307128
-5,-0.1375463225152408,-0.1357759169486927,-0.1190684518165829,-0.1210533388315285
-6,-0.1535713093831789,-0.1543536474512905,-0.131373497521937,-0.1322764261567626
-7,-0.1621867293734878,-0.1655850500459672,-0.139417062760819,-0.1379115981677016
-8,-0.1696244956881482,-0.1721205499238421,-0.1403411774956293,-0.1411422463080428
-9,-0.1777534819190489,-0.1758607909121195,-0.143362447225946,-0.1434521925771265
-10,-0.1814173452222933,-0.1780325294662896,-0.1456811764319968,-0.1454072478549863
