evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1,dJ_dk0_2,dJ_dk0_3,dJ_dk0_4,dJ_dk0_5,dJ_dk0_6,dJ_dk0_7
1,0,0,-1.0,-0.0019506123552504157,-0.008196009254574704,1.9502491215044684e-05,1,9,0.0,0.0,1,,0.008022389134967615,0.0004269752916708913,4.011194567483808e-05,2.1348764583544558e-07,4.775130814873369e-07,1.0900019032616746e-05,5.9392284316079004e-05,-2.282511459588023e-05
1,0,1,-2.0,-0.028170360657581075,-0.04096168887303676,8.180903875775952e-05,1,9,0.0,0.0,1,,0.03734069319601486,0.010087425558630013,0.00037340693196014855,1.0087425558630015e-05,-0.00011656549629789195,0.00033425175325883555,0.0007730302745703272,-0.00016597861645139986
1,0,2,-3.0,-0.06810972414510592,-0.08452432402744907,0.00013471954464871412,1,9,0.0,0.0,1,,0.03890322969588967,0.024142752773909266,0.0005835484454383457,3.621412916086384e-05,-0.00065642824557148,0.001069273542352976,0.0012846181930880126,-0.0002828764068413834
1,0,3,-4.0,-0.10751085605891321,-0.11832948466953583,5.852136250729355e-05,1,9,0.0,0.0,1,,0.01662434015246009,0.014627363015948299,0.0003324868030492011,2.9254726031896548e-05,-0.0007241560302997252,0.0009080282280435685,0.0006013404095419487,-0.00020850675966026065
1,0,4,-5.0,-0.13530609300480156,-0.14071117815968448,1.4607472765766787e-05,1,8,0.0,0.0,1,,0.0053218844447424345,0.004344313134446327,0.00013304711111856177,1.0860782836115889e-05,-0.0004469013595442319,0.0004749369337177841,0.00014495030822077624,-0.000112482952181391
1,0,5,-6.5,-0.16002135692151756,-0.159533557748601,1.189740165491179e-07,1,9,0.0,0.0,1,,-0.00028283911709961896,0.0003153008339035219,-9.192271305737637e-06,1.0247277101864549e-06,4.747032270587684e-05,-4.381003887551773e-05,1.917836316900287e-06,1.1335483520434007e-05
1,0,6,-8.0,-0.16909094165558328,-0.16842891964398427,2.1913657192190345e-07,1,8,0.0,0.0,1,,-0.00023538598029667157,0.000635076685304341,-9.415439211866865e-06,2.5403067412173875e-06,6.527268686869446e-05,-5.732397399576989e-05,1.0527359187095749e-05,1.545127690110741e-05
1,0,7,-10.0,-0.1768863609127894,-0.17349938932179448,5.7357882791e-06,1,8,0.0,0.0,1,,-0.00080706006395614,0.0045572657684221475,-4.035300319780648e-05,2.2786328842110387e-05,0.0003414022868566896,-0.000296683395165497,7.350321109003063e-05,8.025845799134255e-05
1,0,8,-13.0,-0.17943510580894406,-0.17638018339638648,4.666275473371553e-06,1,7,0.0,0.0,1,,-0.0005794340959215065,0.0045754860341516304,-3.766321623489616e-05,2.9740659221985315e-05,0.0003165159631255501,-0.00028077577237924973,7.221562643503596e-05,7.35013493008808e-05
1,0,9,-17.0,-0.18598186102627817,-0.17835373644780553,2.909414229234521e-05,1,6,4.1623056657845326e-06,7.423627677305422e-07,1,,-0.0011908579408568026,0.010118106797166201,-0.00010122292497282473,8.600390777591292e-05,0.0008057343964822456,-0.0007394802977827809,0.00018309561446566025,0.00018399589378707024
1,0,10,-22.0,-0.1843362347735441,-0.18018682522139903,8.608799815718573e-06,1,6,4.6411976740410595e-06,8.362826741104001e-07,1,,-0.0005425172029968152,0.004750863639499375,-5.9676892329652513e-05,5.225950003449299e-05,0.00045024065739305555,-0.0004284371727116543,0.00010080725989852208,0.00010095150870812572
1,0,11,-28.0,-0.1898856796273728,-0.18199171008512627,3.115737756695463e-05,1,6,4.4121285612238685e-06,8.029708219725595e-07,1,,-0.0008143882725976394,0.007360406217114485,-0.0001140143581636515,0.0001030456870396029,0.0008790833373049658,-0.0008647099597241643,0.00019359473429474185,0.00019366985321727306
1,0,12,-35.0,-0.18344721547540385,-0.18375152989765042,4.630363379362371e-08,1,5,1.1440605438149993e-05,2.1022287522154404e-06,1,,2.333492994605568e-05,-0.00022000013521153544,4.083612740559874e-06,-3.850002366201853e-06,-3.4771970527767015e-05,3.5130656890729526e-05,-7.546071208729672e-06,-7.5471906956763975e-06
1,0,13,-41.0,-0.18972942222354755,-0.18505659351450263,1.0917664072044618e-05,1,6,4.9170030431759734e-06,9.09928307590846e-07,1,,-0.00025990758370162266,0.0025188456427350397,-5.328105465884276e-05,5.1636335676068354e-05,0.0005402388437451658,-0.0005541150111261156,0.00011624903972147477,0.00011626288603870837
1,0,14,-46.5,-0.1865473215473971,-0.18613208370018666,8.621123487841236e-08,1,6,7.044839673752739e-06,1.3112706878093405e-06,1,,-1.7889897584935784e-05,0.00017599304931961523,-4.159401188498089e-06,4.091838396681021e-06,4.914373387336773e-05,-5.0802065690028936e-05,1.0524599649074557e-05,1.0525877858542759e-05
2,0,0,-1.0,-0.0019506123552504157,-0.00813844731870581,1.9144650767480477e-05,1,9,0.0,0.0,1,,0.007936234017289842,0.00041922636978468467,3.9574537084607776e-05,2.0956406009152722e-07,-7.944935316555517e-08,1.059582876110149e-05,5.785263877981901e-05,-2.2374276228422873e-05
2,0,1,-2.0,-0.028170360657581075,-0.04070039081096425,7.850082782234893e-05,1,9,0.0,0.0,1,,0.03690717837223349,0.009896178983735562,0.0003680799976407367,9.8938597220839e-06,-0.00011690569053355957,0.0003202397415891009,0.0007484243940734356,-0.00016133178592953604
2,0,2,-3.0,-0.06810972414510592,-0.08426267449469867,0.00013045890249820843,1,9,0.0,0.0,1,,0.039024981077944436,0.02415320507910464,0.0005838016712450562,3.622131682603931e-05,-0.0006437955890844103,0.00103810447465519,0.0012605924866443993,-0.00027680801899294526
2,0,3,-4.0,-0.10751085605891321,-0.11821464216188254,5.72855184690621e-05,1,8,0.0,0.0,1,,0.016826500381432265,0.014955004965392602,0.00033562566925240874,2.9903000241576166e-05,-0.0007117597906330177,0.0008914110766777573,0.0005976981070239277,-0.0002050562683969545
2,0,4,-5.0,-0.13530609300480156,-0.14073993823548553,1.4763336995512378e-05,1,9,0.0,0.0,1,,0.005494042394166368,0.004294109070081746,0.00013698196398862812,1.0732756764136365e-05,-0.00044805844443716425,0.00047712876486792177,0.00014705082789033698,-0.00011283051343247525
2,0,5,-6.5,-0.16002135692151756,-0.15969852269145324,5.2110970050665805e-08,1,9,0.0,0.0,1,,-0.0001914537860430247,0.00021630347922988296,-6.205527345220854e-06,7.028215561130439e-07,3.125925717739524e-05,-2.9001309427845714e-05,1.1960478982364592e-06,7.473073597477378e-06
2,0,6,-8.0,-0.16909094165558328,-0.1686569107290054,9.419142261374581e-08,1,8,0.0,0.0,1,,-0.00016704212992118815,0.0005421829609545694,-6.663729875763271e-06,2.1682235813256106e-06,4.3467938323688086e-05,-3.8379247762377624e-05,7.106028366492519e-06,1.0303541261760114e-05
2,0,7,-10.0,-0.1768863609127894,-0.17375921463105545,4.889521933678163e-06,1,8,0.0,0.0,1,,-0.0007878233840298333,0.004583571037222482,-3.928531550290288e-05,2.2912484173446216e-05,0.0003156981674396586,-0.00027603634312641515,6.805595233823738e-05,7.433400053416296e-05
2,0,8,-13.0,-0.17943510580894406,-0.17665444572876168,3.866035240758316e-06,1,7,0.0,0.0,1,,-0.0005409055835462979,0.004279939689043999,-3.5064382473218246e-05,2.7813088194730374e-05,0.0002866962558015168,-0.0002559009267554509,6.550156221590437e-05,6.668130885719723e-05
2,0,9,-17.0,-0.18598186102627817,-0.17863648108001354,2.6977303277489455e-05,1,6,4.225177200656405e-06,7.547707870647624e-07,1,,-0.0011782595467611844,0.010024881448750664,-9.988292840900509e-05,8.51915222080665e-05,0.0007721624251552374,-0.0007130710640830946,0.00017572182747439632,0.00017659620919139235
2,0,10,-22.0,-0.1843362347735441,-0.18047783864593256,7.443610338785923e-06,1,6,4.723975574025949e-06,8.525729014163819e-07,1,,-0.0005193976871231855,0.0045530557276558005,-5.6980213246052117e-05,5.007187544336239e-05,0.00041673185117320277,-0.00039904081032807745,9.343436853028909e-05,9.356990563458589e-05
2,0,11,-28.0,-0.1898856796273728,-0.1822914871487218,2.8835879701396605e-05,1,6,4.510546694757969e-06,8.222342648411818e-07,1,,-0.0008095865761087672,0.007306475075317379,-0.00011303754267696717,0.00010226667828831721,0.0008419802242920596,-0.0008335246139922739,0.00018565674511735538,0.0001857301673460906
2,0,12,-35.0,-0.18344721547540385,-0.18406015728740455,1.8784883244933044e-07,1,5,1.1733362073646658e-05,2.159644468785471e-06,1,,4.8700933722689246e-05,-0.00045871490788756606,8.49976092202703e-06,-8.02562956614133e-06,-6.974526727482729e-05,7.093063043630303e-05,-1.5152227785489547e-05,-1.5154504556607198e-05
2,0,13,-41.0,-0.18972942222354755,-0.18537157407553825,9.495420240560923e-06,1,6,5.0194640864491e-06,9.304706291846099e-07,1,,-0.0002521174789895104,0.002439389917847512,-5.1545195430054594e-05,4.9995773594379214e-05,0.0005018321269593517,-0.0005182284078447297,0.00010808507396194501,0.00010809807461127978
2,0,14,-46.5,-0.1865473215473971,-0.18645182307834537,4.559978795711269e-09,1,6,7.228475428951383e-06,1.34776242180501e-06,1,,-4.298524447117602e-06,4.220291393579593e-05,-9.967212832747372e-07,9.809877914952687e-07,1.1260226983151232e-05,-1.17216887252498e-05,2.4133950047564e-06,2.4136908990002088e-06
3,1,0,-1.0,-0.0019506123552504157,-0.006528923433699955,1.0480466165526868e-05,1,8,0.0,0.0,1,,0.005544596561767011,0.00024133310601705217,2.4949595063024542e-05,1.1961125955539576e-07,-6.402550567976412e-06,4.202090311444069e-06,2.8434894786993817e-05,-1.2645777188055294e-05
3,1,1,-2.0,-0.028170360657581075,-0.03290779510063415,1.1221642551113985e-05,1,9,0.0,0.0,1,,0.016310828594454162,0.003693697834062155,0.00014679104747860778,3.6613944737278973e-06,-6.456333085291636e-05,6.535082518241047e-05,0.00020914787453873786,-5.0213550809389475e-05
3,1,2,-3.0,-0.06810972414510592,-0.0740990272060831,1.7935875578116907e-05,1,9,0.0,0.0,1,,0.021458727662844658,0.013555722476933388,0.0002896801740892076,2.0155755665799418e-05,-0.00023101450915730324,0.000248465618273013,0.0004272370748735088,-9.009802528008387e-05
3,1,3,-4.0,-0.10751085605891321,-0.11052463543299125,4.541433057809782e-06,1,8,0.0,0.0,1,,0.007843040556494747,0.009005086189033371,0.00014116856566030156,1.7852663801527056e-05,-0.00018188756193889466,0.00018916340366438315,0.000182880190911909,-5.151679655399039e-05
3,1,4,-5.0,-0.13530609300480156,-0.13654522554377213,7.677247245675806e-07,1,9,0.0,0.0,1,,0.002104509279863355,0.0029526731786826505,4.7349391208216677e-05,7.317126186838016e-06,-9.254222806603734e-05,9.151084444905224e-05,4.384986651283191e-05,-2.340213632368082e-05
3,1,5,-6.5,-0.16002135692151756,-0.15937303624804183,2.1015984782811836e-07,1,9,0.0,0.0,1,,-0.000575063653748647,-0.0004611545605217255,-1.6819877404655996e-05,-1.4856449321703838e-06,5.457836800516657e-05,-5.089579395178469e-05,-2.7706155335080395e-06,1.3360346152535852e-05
3,1,6,-8.0,-0.16909094165558328,-0.1702587997366665,6.819462487737424e-07,1,8,0.0,0.0,1,,0.0005969539903232749,-0.0007057224953881181,2.1489405281564565e-05,-2.798202300980219e-06,-0.00010240300529655931,9.29694384115485e-05,-1.3686253379113737e-05,-2.5068358446497637e-05
3,1,7,-10.0,-0.1768863609127894,-0.1763062574601618,1.6826000787466785e-07,1,8,0.0,0.0,1,,-0.00020265556107152707,0.0010074228442032876,-9.119102047693956e-06,4.993061966869959e-06,5.313707124466908e-05,-4.805150963591111e-05,1.1479696372334921e-05,1.2997372362137939e-05
3,1,8,-13.0,-0.17943510580894406,-0.17949835486897012,2.000221797126614e-09,1,7,0.0,0.0,1,,1.9862641581855755e-05,-0.00015256562946601055,1.161913795669826e-06,-9.830038500893744e-07,-6.204116543478138e-06,5.708563227472834e-06,-1.4732237242914096e-06,-1.5045921397295337e-06
3,1,9,-17.0,-0.18598186102627817,-0.18151241710107513,9.987964500264834e-06,1,6,1.7127843140076146e-06,3.10891620808329e-07,1,,-0.0009353033226102231,0.007303085551045228,-7.154757993743461e-05,6.153333742272895e-05,0.00041761635037335543,-0.0003956850013881893,9.90544595168385e-05,9.977396735970855e-05
3,1,10,-22.0,-0.1843362347735441,-0.18335108746248605,4.852576122429825e-07,1,6,3.5729082139608447e-06,6.550966064333696e-07,1,,-0.00018644696148679377,0.0015125748985665502,-1.8457443212707928e-05,1.6492812855464447e-05,9.463721391859716e-05,-9.271976264110414e-05,2.2167670058980472e-05,2.2217994216654375e-05
3,1,11,-28.0,-0.1898856796273728,-0.1851835842575256,1.1054850433567271e-05,1,6,3.861770591554867e-06,7.151365197244353e-07,1,,-0.0007595980588220985,0.006341889160062778,-9.570517628832087e-05,8.80099633308591e-05,0.0004630038985343312,-0.0004691777860525972,0.00010663581444834898,0.0001067043392215067
3,1,12,-35.0,-0.18344721547540385,-0.18701188344442274,6.3534288646745174e-06,1,6,2.4478878315490805e-06,4.5778411383867734e-07,1,,0.00047646078893988494,-0.004107026497316508,7.503929754421234e-05,-7.124439624866274e-05,-0.0003602925176740272,0.00037663826930307896,-8.15372824163509e-05,-8.155418068836873e-05
3,1,13,-41.0,-0.18972942222354755,-0.18839185112655743,8.945482197537926e-07,1,6,2.5435785442497983e-06,4.791894704370137e-07,1,,-0.00015164186826233662,0.0013412481747691013,-2.7976703045847573e-05,2.7255123984175678e-05,0.00013802283096613847,-0.00014727768099024647,3.085393093807086e-05,3.085814793251939e-05
3,1,14,-46.5,-0.1865473215473971,-0.18954866893203087,4.504043061620864e-06,1,5,1.883659948523841e-05,3.5705196160806807e-06,1,,0.00027832923358492073,-0.0024912927263159427,5.823784907658869e-05,-5.7415992199626975e-05,-0.0003126812507712971,0.00033865325437267696,-6.927133807256275e-05,-6.92799540484261e-05
4,2,0,-1.0,-0.0019506123552504157,-0.006146715004912649,8.803638723251185e-06,1,8,0.0,0.0,1,,0.005079143735637742,0.0002107873112764364,2.17545539236597e-05,1.0403455951155028e-07,-5.388728072519728e-06,3.40901325570163e-06,2.471481002680251e-05,-1.09190948583935e-05
4,2,1,-2.0,-0.028170360657581075,-0.031479388478799435,5.474832560799389e-06,1,9,0.0,0.0,1,,0.01178898289338016,0.00259566096835768,0.00010098712594395142,2.5621888134459317e-06,-4.205663145906346e-05,4.2183669683882966e-05,0.0001462306451914798,-3.4113794354923755e-05
4,2,2,-3.0,-0.06810972414510592,-0.07228178669781166,8.703052971845837e-06,1,9,0.0,0.0,1,,0.01582141659154995,0.009799496998369994,0.0002032948140301099,1.4509692459474163e-05,-0.0001549150086593265,0.00016618584938037559,0.00031140135805958697,-6.212184693773636e-05
4,2,3,-4.0,-0.10751085605891321,-0.10899315595828657,1.0986064958414657e-06,1,8,0.0,0.0,1,,0.004117560987481324,0.004555982535813148,7.054393984372846e-05,8.994462396914185e-06,-8.763807011685269e-05,9.06859633831029e-05,9.661698897478967e-05,-2.5225266150357365e-05
4,2,4,-5.0,-0.13530609300480156,-0.13544438142478468,9.56184355068675e-09,1,9,0.0,0.0,1,,0.0002493074026968756,0.0002968117811073348,5.339060693914155e-06,7.324606665921317e-07,-1.0394862156280595e-05,1.0181992299979222e-05,5.1774127410551166e-06,-2.6526825348011843e-06
4,2,5,-6.5,-0.16002135692151756,-0.1587811480591826,7.690590111073116e-07,1,8,0.0,0.0,1,,-0.0011861764582085182,-0.0010340414484701153,-3.302344192842859e-05,-3.3172978900839047e-06,0.00010144513097009927,-9.294208322078332e-05,-8.687692155180749e-06,2.5178166398295715e-05
4,2,6,-8.0,-0.16909094165558328,-0.16995439941861723,3.7277965427036153e-07,1,8,0.0,0.0,1,,0.0004810977851200349,-0.0005366048293445183,1.6484774999395032e-05,-2.118740325101145e-06,-7.385768666053233e-05,6.555023978060343e-05,-8.998262948185167e-06,-1.8346263247943376e-05
4,2,7,-10.0,-0.1768863609127894,-0.17616332105735857,2.6139331627000684e-07,1,8,0.0,0.0,1,,-0.0002563703420540744,0.0011253699042508426,-1.098063516397487e-05,5.554288897530029e-06,6.340870106649628e-05,-5.576608015144208e-05,1.360507614488284e-05,1.576783907399375e-05
4,2,8,-13.0,-0.17943510580894406,-0.1793971745497657,7.193902114060127e-10,1,7,0.0,0.0,1,,-1.317164611045253e-05,9.706927920969538e-05,-7.334036810801026e-07,6.228139415314603e-07,3.6089451025549715e-06,-3.2128437952651333e-06,8.709558935168759e-07,8.923453516241618e-07
4,2,9,-17.0,-0.18598186102627817,-0.18138277907083095,1.0575777416457716e-05,1,6,6.146172318897109e-07,1.114809815849771e-07,1,,-0.0010881635455528692,0.008183443477592032,-7.92323930858034e-05,6.866227312023364e-05,0.000416194942221525,-0.0003796861571322559,0.00010082478983267613,0.00010168479823592954
