phi_applied,flux_clean,flux_noisy
-1,-0.002819451201137672,-0.002252965191176001
-2,-0.02280168364757939,-0.02122866105985288
-3,-0.06408144171047786,-0.06543956672771113
-4,-0.09958232622819777,-0.1016899774243757
-5,-0.121117997357992,-0.1257380307687126
-6.5,-0.1357339594135733,-0.1334802971360166
-8,-0.1416567297415814,-0.1416180934282683
-10,-0.1463470490184126,-0.145869858811909
-11.5,-0.1492693260137184,-0.1510868604347933
-13,-0.1519549809952661,-0.1491101405650316
