phi_applied,target_current_density,simulated_current_density
-1,-0.005811162777964344,-0.000265516541244961
-2.357142857142857,-0.005974064898636422,-0.0008881422606873549
-3.714285714285714,0.003125533943907826,-0.002227431238106138
-5.071428571428571,-0.006207163048749283,-0.005236159862904557
-6.428571428571429,-0.01158881227697504,-0.01191474498759086
-7.785714285714286,-0.02502639283466379,-0.02593631731585697
-9.142857142857142,-0.05269317406115371,-0.05204091805580606
-10.5,-0.0882162609813168,-0.0913399833796032
-11.85714285714286,-0.1367137254274985,-0.1354083185647284
-13.21428571428572,-0.1729074887708827,-0.1725375445653888
-14.57142857142857,-0.2058941561705718,-0.2001793270719059
-15.92857142857143,-0.2219656737436669,-0.2240443664910954
-17.28571428571428,-0.25258719785485,-0.2506847344016181
-18.64285714285714,-0.2808747561134667,-0.2828357458592573
-20,-0.3173270904947468,-0.3175372580574616
