v_rhe,current_density_mAcm2,peroxide_current_mAcm2
0.700000,-4.69630834e-02,4.69630703e-02
0.650000,-8.85812235e-02,8.85811885e-02
0.600000,-1.11372697e-01,1.11372620e-01
0.550000,-1.27566652e-01,1.27566502e-01
0.500000,-1.37486519e-01,1.37486252e-01
0.450000,-1.39620915e-01,1.39618411e-01
0.400000,-1.40120975e-01,1.40088486e-01
0.350000,-1.41460733e-01,1.41079082e-01
0.300000,-1.42976331e-01,1.38690045e-01
0.250000,-1.45209635e-01,1.06757621e-01
0.200000,-1.49827768e-01,-1.35432181e-13
0.150000,-1.56671875e-01,-1.39448971e-12
0.100000,-1.62887184e-01,-1.55235966e-11
0.050000,-1.69358737e-01,-1.72417382e-10
0.000000,-1.73296789e-01,-1.93873867e-09
-0.050000,-1.75829483e-01,-2.19553153e-08
-0.100000,-1.77528759e-01,-2.49708054e-07
-0.150000,-1.78740992e-01,-2.84721260e-06
-0.200000,-1.79673682e-01,-3.24979979e-05
-0.250000,-1.80444542e-01,-3.69376764e-04
-0.300000,-1.81126523e-01,-3.97937846e-03
-0.350000,-1.81816436e-01,-2.94480675e-02
-0.400000,-1.82584733e-01,-9.18281404e-02
-0.450000,-1.83290390e-01,-1.45909813e-01
-0.500000,-1.83869506e-01,-1.70755499e-01
