evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,steric_a_0,steric_a_1,steric_a_2,steric_a_3,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
11,9,1.9003026017719674e-05,0.0006461845851380593,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.04938380117715569,0.032604810105518356,0.0189619867919833,0.001,0.0003903855440190579,-0.00042649422547718426,-0.00025988606849672855,0.0001253616852428217,0.0012631578947368421,5.2631578947368424e-05
12,9,1.721619766889963e-05,0.00016306139262847632,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.06618064908320578,0.061811239020229454,0.023205294578692453,0.030186828249388037,1.2869480683758356e-05,-1.9849913667279806e-05,-0.00015739413935870827,3.544658031180922e-05,0.0012631578947368421,5.2631578947368424e-05
13,10,1.639535349308066e-05,0.00014703775260508335,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.05829580309121479,0.049186056872244074,0.023241286161161688,0.001,-3.903493375772974e-05,3.510367139544085e-05,-0.00013576473848453413,2.078563630179066e-05,0.0012631578947368421,5.2631578947368424e-05
14,11,1.5841261278355772e-05,8.734644022558313e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.057063291453884356,0.04761511924383173,0.029222353268937417,0.001,-5.014561743768602e-05,5.5604878621010045e-05,-4.335589852874359e-05,1.196583503908673e-05,0.0012631578947368421,5.2631578947368424e-05
15,12,1.5710107804437527e-05,2.698462441711141e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.0547316984158407,0.044255926957834486,0.03276988381169517,0.001,-9.657882256715539e-06,1.710023346676771e-05,-3.0169750073617396e-06,1.8258563537008508e-05,0.0012631578947368421,5.2631578947368424e-05
16,13,1.570168007697903e-05,2.601894040665415e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.05351681082622388,0.04261841087817184,0.033557302040843215,0.001,1.1610497881924388e-05,-4.8630091504440445e-06,2.8856793466515754e-06,2.2587731084149537e-05,0.0012631578947368421,5.2631578947368424e-05
17,14,1.5699002694811347e-05,3.369084883425083e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.05277919324996186,0.041769452285332305,0.03371180965610885,0.001,1.9211308624530815e-05,-1.3004028855013647e-05,2.793547358412215e-06,2.427118132270552e-05,0.0012631578947368421,5.2631578947368424e-05
18,15,1.5689281945953745e-05,5.4464009853001884e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.05005559803310353,0.03889076124870797,0.03409013801321293,0.001,3.542062932430711e-05,-3.0529458694516945e-05,1.5748032373346732e-06,2.78779399188926e-05,0.0012631578947368421,5.2631578947368424e-05
19,16,1.5665937991399982e-05,8.117254535263908e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.04353865953266412,0.03235296576177174,0.034871060910126775,0.001,5.4246285645832544e-05,-5.1179756663489236e-05,-1.9493108166751365e-06,3.198679896243158e-05,0.0012631578947368421,5.2631578947368424e-05
20,17,1.5597604587525948e-05,0.0001309308383299158,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.021766838983858065,0.011036584236945361,0.037675065566820404,0.001,8.841441901123108e-05,-8.838231258389802e-05,-3.883761906552392e-06,3.8720255067036443e-05,0.0012631578947368421,5.2631578947368424e-05
21,18,1.6818260324132182e-05,0.0004809643564208412,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.001,0.001,0.04234025756583381,0.001,-0.0003098489467799455,0.00035295420894181073,8.55647119753611e-05,-5.850084428028855e-05,0.0012631578947368421,5.2631578947368424e-05
22,18,1.5494959523241397e-05,2.5357572735354468e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.017338000046882202,0.008896132572762247,0.03866998751858007,0.001,-1.546116041618536e-06,9.626563329427856e-06,1.632219419362808e-05,1.677889374734374e-05,0.0012631578947368421,5.2631578947368424e-05
23,19,1.544640330999692e-05,2.7489987290113156e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.009260255176573529,0.001,0.03922735016386417,0.001,1.3974061943403788e-05,-8.152723841494162e-06,8.718367133986197e-06,2.0443780533303003e-05,0.0012631578947368421,5.2631578947368424e-05
24,20,1.8126217059960486e-05,0.0005858240901020945,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.001,0.001,0.051283851847959375,0.001,-0.00034936850553520004,0.0004164525783558047,0.00020473144286057394,-7.605128643933454e-05,0.0012631578947368421,5.2631578947368424e-05
25,20,1.5446390781471043e-05,2.6878123101565433e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00924450844637209,0.001,0.039250333773345275,0.001,1.3258792218748868e-05,-7.344019951207681e-06,9.07602849475873e-06,2.0256579377613117e-05,0.0012631578947368421,5.2631578947368424e-05
26,21,1.5442243736955795e-05,2.0683499496270563e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008861847723427853,0.001,0.03910274165896699,0.001,-9.517947306012724e-07,7.753407221631732e-06,8.720288511599009e-06,1.7051172479716683e-05,0.0012631578947368421,5.2631578947368424e-05
27,22,1.5438810714402915e-05,1.8843789014766404e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813555172314436,0.001,0.038437745104447425,0.001,-8.565121734099455e-08,5.664020949903764e-06,-1.0120663468355198e-06,1.794367957501062e-05,0.0012631578947368421,5.2631578947368424e-05
28,23,1.543891434854511e-05,1.8769604292180242e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008823302929355563,0.001,0.03850819053270039,0.001,3.665288077930352e-08,5.661223945136265e-06,5.688845729109578e-08,1.7895362779161655e-05,0.0012631578947368421,5.2631578947368424e-05
29,23,1.543881574678219e-05,1.8838082912831137e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008814402412479888,0.001,0.03844386796902402,0.001,-8.256816202658517e-08,5.669952509752797e-06,-9.422171834512147e-07,1.7939632539315772e-05,0.0012631578947368421,5.2631578947368424e-05
30,23,1.5438809657630454e-05,1.8843186843443396e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00881364370075524,0.001,0.03843838488485011,0.001,-8.533574734733351e-08,5.664653384958123e-06,-1.004774766012704e-06,1.7943258843504696e-05,0.0012631578947368421,5.2631578947368424e-05
31,23,1.5438811565414772e-05,1.8843048185307685e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00881366314401891,0.001,0.03843852539810153,0.001,-8.526008748110329e-08,5.664781647175213e-06,-1.003163269811818e-06,1.794316326557938e-05,0.0012631578947368421,5.2631578947368424e-05
32,23,1.5438812152531713e-05,1.8843177688422646e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643929178102,0.001,0.03843838653562436,0.001,-8.532841764641395e-08,5.6646441090010585e-06,-1.0047441362562418e-06,1.794325390774007e-05,0.0012631578947368421,5.2631578947368424e-05
33,24,1.5438958826010197e-05,1.8742674631220453e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008826987997445794,0.001,0.03852700491603044,0.001,1.9037752559564755e-07,5.545797983764328e-06,5.48352161041243e-07,1.7893994617197684e-05,0.0012631578947368421,5.2631578947368424e-05
34,24,1.543881949514989e-05,1.8835910394126708e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008814770491810047,0.001,0.038445867951266144,0.001,-7.80325872479855e-08,5.668072333627763e-06,-9.197495274016067e-07,1.793913175486779e-05,0.0012631578947368421,5.2631578947368424e-05
35,24,1.543881252444171e-05,1.884258337670554e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813733826980578,0.001,0.03843898341687355,0.001,-8.474547820067589e-08,5.664914722517029e-06,-9.979642370622156e-07,1.7942925488341615e-05,0.0012631578947368421,5.2631578947368424e-05
36,24,1.543881236264438e-05,1.884316007427218e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813646415704184,0.001,0.03843840291493934,0.001,-8.531057953825322e-08,5.664647813162168e-06,-1.0045572329093165e-06,1.7943244790402616e-05,0.0012631578947368421,5.2631578947368424e-05
37,24,1.5438812543479824e-05,1.8843177575170696e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643703807203,0.001,0.03843838490511832,0.001,-8.532774000119103e-08,5.664639199160458e-06,-1.0047608831114464e-06,1.7943254404296506e-05,0.0012631578947368421,5.2631578947368424e-05
38,24,1.543881254367003e-05,1.8843177585025514e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643702281224,0.001,0.03843838489498424,0.001,-8.53277430857462e-08,5.664639186203375e-06,-1.0047610056404272e-06,1.7943254411860225e-05,0.0012631578947368421,5.2631578947368424e-05
39,24,1.5438812543755933e-05,1.884317758878176e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643701518237,0.001,0.0384383848899172,0.001,-8.53277483841338e-08,5.664639185628043e-06,-1.0047610526613945e-06,1.7943254413328282e-05,0.0012631578947368421,5.2631578947368424e-05
40,24,1.5438812543877597e-05,1.8843177597588612e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643701136744,0.001,0.038438384887383686,0.001,-8.532779342948146e-08,5.66463922790629e-06,-1.004761098997146e-06,1.7943254406420844e-05,0.0012631578947368421,5.2631578947368424e-05
41,24,1.5438812544053353e-05,1.8843177592325376e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643700945997,0.001,0.03843838488611693,0.001,-8.532774392502711e-08,5.6646391745663075e-06,-1.0047611001074233e-06,1.7943254417906177e-05,0.0012631578947368421,5.2631578947368424e-05
42,24,1.5438812543826423e-05,1.8843177590764176e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643700850624,0.001,0.038438384885483554,0.001,-8.532772321264565e-08,5.664639151490853e-06,-1.004761105174144e-06,1.7943254423366314e-05,0.0012631578947368421,5.2631578947368424e-05
43,24,1.5438813647017637e-05,1.8842436138576687e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813729036502587,0.001,0.03843938965961612,0.001,-8.689153662192438e-08,5.667846923794765e-06,-9.930873462850803e-07,1.7942105179389705e-05,0.0012631578947368421,5.2631578947368424e-05
44,24,1.5438812678979362e-05,1.8843151172995768e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813646697014177,0.001,0.03843842016391504,0.001,-8.538239063910153e-08,5.66475151485827e-06,-1.0043507718850142e-06,1.7943213919966106e-05,0.0012631578947368421,5.2631578947368424e-05
45,24,1.5438812668058465e-05,1.8843177225616505e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643706598847,0.001,0.0384383849536549,0.001,-8.532754204495629e-08,5.664639055845031e-06,-1.0047597374497966e-06,1.7943254147549605e-05,0.0012631578947368421,5.2631578947368424e-05
46,24,1.5438812674245976e-05,1.884317728290823e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.008813643703677066,0.001,0.03843838491925277,0.001,-8.532777969681412e-08,5.664639252617534e-06,-1.0047601472312312e-06,1.794325412151768e-05,0.0012631578947368421,5.2631578947368424e-05
47,24,1.543881266800254e-05,1.884317726352205e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00881364370221618,0.001,0.03843838490205177,0.001,-8.532746297013451e-08,5.664638892127955e-06,-1.0047603312353018e-06,1.7943254206167415e-05,0.0012631578947368421,5.2631578947368424e-05
48,24,1.543881267830258e-05,1.884317723938592e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00881364370148574,0.001,0.03843838489345129,0.001,-8.532740457056027e-08,5.664638814777991e-06,-1.0047603735186038e-06,1.7943254203149945e-05,0.0012631578947368421,5.2631578947368424e-05
49,24,1.5438812678643483e-05,1.8843177247599386e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00881364370112052,0.001,0.03843838488915105,0.001,-8.532743505355487e-08,5.664638840085167e-06,-1.004760433749138e-06,1.7943254200268278e-05,0.0012631578947368421,5.2631578947368424e-05
50,24,1.5438812678570262e-05,1.884317724777584e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.00881364370093791,0.001,0.03843838488700093,0.001,-8.532741121802063e-08,5.6646388100842085e-06,-1.0047604617248744e-06,1.794325420847161e-05,0.0012631578947368421,5.2631578947368424e-05
