phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002700322587596787,-0.002037117351984403,-0.002696872528107573
-2,-0.02340628769495274,-0.02244944354859808,-0.02094170364994419,-0.02222489695507395
-3,-0.06477056956628323,-0.06573914943175115,-0.06333339791782359,-0.06349602729934394
-4,-0.1069978687145439,-0.1067301372471579,-0.1025324149083589,-0.09933174822740044
-5,-0.1375463225152408,-0.1357748362625413,-0.1190684518165829,-0.1210588818741662
-6,-0.1535713093831789,-0.1543531995819415,-0.131373497521937,-0.1322817619998923
-7,-0.1621867293734878,-0.1655850170683273,-0.139417062760819,-0.1379149874715503
-8,-0.1696244956881482,-0.1721207472834925,-0.1403411774956293,-0.1411429293608817
-9,-0.1777534819190489,-0.1758609937809961,-0.143362447225946,-0.143450187986354
-10,-0.1814173452222933,-0.1780327136021589,-0.1456811764319968,-0.1454026287646496
