phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002700576715357084,-0.002037117351984403,-0.002697124297006556
-2,-0.02340628769495274,-0.0224498454906583,-0.02094170364994419,-0.02222521081512658
-3,-0.06477056956628323,-0.06573860343239156,-0.06333339791782359,-0.06349490184172336
-4,-0.1069978687145439,-0.1067288496349334,-0.1025324149083589,-0.09932922738165569
-5,-0.1375463225152408,-0.1357734206246707,-0.1190684518165829,-0.1210560950328538
-6,-0.1535713093831789,-0.1543519253652153,-0.131373497521937,-0.1322797325739298
-7,-0.1621867293734878,-0.1655839918574928,-0.139417062760819,-0.1379140654872462
-8,-0.1696244956881482,-0.1721199862363491,-0.1403411774956293,-0.1411432692480686
-9,-0.1777534819190489,-0.1758604497424566,-0.143362447225946,-0.1434517294623251
-10,-0.1814173452222933,-0.178032334519363,-0.1456811764319968,-0.1454051904250153
