epoch,train_loss,val_loss,val_cd_rmse,val_pc_rmse,lr,elapsed_s
64,7.28763118e-02,8.10815841e-02,1.25401374e-02,1.97660585e-02,9.601558e-04,2.8
65,7.13175386e-02,7.95804784e-02,1.24486612e-02,1.95808158e-02,9.589184e-04,2.8
66,6.99775293e-02,7.77374133e-02,1.22754738e-02,1.94376681e-02,9.576630e-04,2.9
67,6.83206469e-02,7.62115866e-02,1.22017924e-02,1.92571547e-02,9.563894e-04,2.9
68,6.69012293e-02,7.48535544e-02,1.20524154e-02,1.90710299e-02,9.550979e-04,3.0
69,6.57032132e-02,7.33243525e-02,1.19893019e-02,1.89568431e-02,9.537885e-04,3.0
70,6.43963441e-02,7.20820799e-02,1.18214634e-02,1.87992869e-02,9.524611e-04,3.0
71,6.32652417e-02,7.12007508e-02,1.19507573e-02,1.86965456e-02,9.511159e-04,3.1
72,6.26050681e-02,7.06293955e-02,1.16560808e-02,1.86505599e-02,9.497529e-04,3.1
73,6.21871315e-02,6.93970546e-02,1.18010091e-02,1.84722309e-02,9.483722e-04,3.2
74,6.10669330e-02,6.75354898e-02,1.13650484e-02,1.81779420e-02,9.469738e-04,3.2
75,5.92582226e-02,6.56659752e-02,1.12498841e-02,1.80631962e-02,9.455578e-04,3.3
76,5.75957559e-02,6.45592436e-02,1.12267102e-02,1.79217159e-02,9.441242e-04,3.3
77,5.65103367e-02,6.37486652e-02,1.10199733e-02,1.77870357e-02,9.426730e-04,3.3
78,5.58549538e-02,6.28544986e-02,1.10445689e-02,1.76863387e-02,9.412045e-04,3.4
79,5.51745370e-02,6.16555773e-02,1.08165595e-02,1.74856353e-02,9.397185e-04,3.4
80,5.38971201e-02,5.99602573e-02,1.07109594e-02,1.73796876e-02,9.382152e-04,3.5
81,5.24159223e-02,5.91717213e-02,1.06944851e-02,1.72816400e-02,9.366946e-04,3.5
82,5.17762080e-02,5.88873513e-02,1.05132443e-02,1.71237938e-02,9.351568e-04,3.6
83,5.14250398e-02,5.76127097e-02,1.04976505e-02,1.70382331e-02,9.336018e-04,3.6
84,5.04026711e-02,5.63019738e-02,1.03107529e-02,1.68987932e-02,9.320297e-04,3.7
85,4.91548516e-02,5.54771163e-02,1.02340363e-02,1.67520602e-02,9.304406e-04,3.7
86,4.83303443e-02,5.48245870e-02,1.01818943e-02,1.66674738e-02,9.288346e-04,3.7
87,4.78667021e-02,5.42093813e-02,1.00185904e-02,1.65563673e-02,9.272116e-04,3.8
88,4.73108031e-02,5.32297641e-02,1.00459266e-02,1.64461717e-02,9.255717e-04,3.8
89,4.64237481e-02,5.22533022e-02,9.83339842e-03,1.63032789e-02,9.239151e-04,3.9
90,4.55377325e-02,5.14779203e-02,9.82111048e-03,1.61819755e-02,9.222418e-04,3.9
91,4.48743775e-02,5.08240648e-02,9.69316527e-03,1.60828691e-02,9.205518e-04,4.0
92,4.42857556e-02,5.00874296e-02,9.55825784e-03,1.59712478e-02,9.188453e-04,4.0
93,4.36418913e-02,4.93972450e-02,9.61136362e-03,1.58598553e-02,9.171222e-04,4.1
94,4.30576429e-02,4.89465632e-02,9.40047593e-03,1.57696018e-02,9.153827e-04,4.1
95,4.25980017e-02,4.82439697e-02,9.47778666e-03,1.57075161e-02,9.136267e-04,4.1
96,4.20839153e-02,4.75845933e-02,9.23249582e-03,1.55494075e-02,9.118545e-04,4.2
97,4.14018519e-02,4.67429906e-02,9.22957260e-03,1.54436530e-02,9.100661e-04,4.2
98,4.06700037e-02,4.60714474e-02,9.06975553e-03,1.53298736e-02,9.082615e-04,4.3
99,4.00602072e-02,4.55394126e-02,9.01505373e-03,1.52235017e-02,9.064407e-04,4.3
100,3.95730026e-02,4.49795611e-02,8.96624535e-03,1.51576336e-02,9.046040e-04,4.3
101,3.91241387e-02,4.45168428e-02,8.83165323e-03,1.50465692e-02,9.027513e-04,4.4
102,3.86810750e-02,4.40058224e-02,8.87868437e-03,1.49726032e-02,9.008827e-04,4.4
103,3.82551625e-02,4.35745567e-02,8.66425787e-03,1.48880059e-02,8.989983e-04,4.5
104,3.78575139e-02,4.31103446e-02,8.78672314e-03,1.48175577e-02,8.970982e-04,4.5
105,3.74828689e-02,4.28224541e-02,8.52309678e-03,1.47323082e-02,8.951824e-04,4.6
106,3.72036658e-02,4.25930768e-02,8.74410416e-03,1.46917815e-02,8.932511e-04,4.6
107,3.71171385e-02,4.29654941e-02,8.44518596e-03,1.46008185e-02,8.913042e-04,4.6
108,3.74011584e-02,4.33595888e-02,8.84459378e-03,1.46435964e-02,8.893419e-04,4.7
109,3.80244255e-02,4.40684520e-02,8.40766369e-03,1.45340101e-02,8.873643e-04,4.7
110,3.85920070e-02,4.29825746e-02,8.65069781e-03,1.44870238e-02,8.853714e-04,4.8
111,3.77548784e-02,4.09357101e-02,8.11309079e-03,1.42843811e-02,8.833633e-04,4.8
