phi_applied,target_current_density,simulated_current_density
-1,-0.005811162777964344,-0.0002728742964094411
-2.357142857142857,-0.005974064898636422,-0.0009100316055369522
-3.714285714285714,0.003125533943907826,-0.002275381209233536
-5.071428571428571,-0.006207163048749283,-0.005331977061106923
-6.428571428571429,-0.01158881227697504,-0.01209206532903249
-7.785714285714286,-0.02502639283466379,-0.02622705859324059
-9.142857142857142,-0.05269317406115371,-0.05242495918283419
-10.5,-0.0882162609813168,-0.09169496384100113
-11.85714285714286,-0.1367137254274985,-0.135604903237884
-13.21428571428572,-0.1729074887708827,-0.172585708431654
-14.57142857142857,-0.2058941561705718,-0.2001608959926599
-15.92857142857143,-0.2219656737436669,-0.2240022115569546
-17.28571428571428,-0.25258719785485,-0.2506132390913201
-18.64285714285714,-0.2808747561134667,-0.2827161402261336
-20,-0.3173270904947468,-0.317375287477381
