evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,grad_0,grad_1,effective_k0_0,effective_k0_1
11,3,0.004674221983951969,0.09468244659543912,0,0,0.0011428571428571427,4.7619047619047614e-05,0.5502307263754136,0.5500217362969523,-0.0653461013245678,0.06851753596691505,0.0011428571428571427,4.7619047619047614e-05
12,3,0.0015317230601653424,0.07046430244926742,0,0,0.0011428571428571427,4.7619047619047614e-05,0.579385022441234,0.4903638226544024,-0.061252432726919694,-0.0348332801311621,0.0011428571428571427,4.7619047619047614e-05
13,4,0.00023691827840440798,0.026905515955088187,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6191000237847735,0.5109869216930002,-0.0024666323524105047,0.026792209943331417,0.0011428571428571427,4.7619047619047614e-05
14,5,0.00011146918344667196,0.011860037788706675,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6293656406792443,0.493817912633035,0.0032401828388282624,-0.011408843566309125,0.0011428571428571427,4.7619047619047614e-05
15,6,7.29061371786148e-05,0.00019781412434564935,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6249706926641688,0.4991596464178507,0.00011740201670198226,-0.0001592080219867815,0.0011428571428571427,4.7619047619047614e-05
16,7,7.28930947793741e-05,2.2636679156148846e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444089279974,0.4992460551016555,1.4065422337841667e-05,-1.7736491695839068e-05,0.0011428571428571427,4.7619047619047614e-05
17,8,7.289349134149675e-05,2.0335131255513424e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248275203429193,0.4992571075877464,5.032121741999529e-07,2.0328904069986062e-05,0.0011428571428571427,4.7619047619047614e-05
18,8,7.289311929903178e-05,1.9870127066006457e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248421769014132,0.49924751581862276,1.2218684613946773e-05,-1.5669259584426534e-05,0.0011428571428571427,4.7619047619047614e-05
19,8,7.289309768675385e-05,2.2251092321753874e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.624844097905183,0.4992462586459615,1.3808090419862934e-05,-1.744843111767083e-05,0.0011428571428571427,4.7619047619047614e-05
20,8,7.289309518554415e-05,2.258148526038268e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248443644057445,0.499246084238589,1.4028590830505172e-05,-1.7695256875082273e-05,0.0011428571428571427,4.7619047619047614e-05
21,8,7.289309483765434e-05,2.262874915693513e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444025309002,0.49924605928814164,1.4060131609168126e-05,-1.7730566475450347e-05,0.0011428571428571427,4.7619047619047614e-05
22,8,7.289309478786851e-05,2.2635544353636338e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444080089774,0.49924605570309455,1.406466887215156e-05,-1.773564088783286e-05,0.0011428571428571427,4.7619047619047614e-05
23,8,7.289309478057191e-05,2.2636518900088508e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444087965814,0.49924605518765874,1.4065316570972617e-05,-1.7736371040108158e-05,0.0011428571428571427,4.7619047619047614e-05
24,8,7.289309477965203e-05,2.2636657014711e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444089091225,0.4992460551140079,1.406540810179099e-05,-1.7736474726724505e-05,0.0011428571428571427,4.7619047619047614e-05
25,8,7.289309477950019e-05,2.2636676144120197e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444089257246,0.4992460551031429,1.4065420569003624e-05,-1.773648925438262e-05,0.0011428571428571427,4.7619047619047614e-05
26,8,7.289309477947432e-05,2.2636679738168643e-05,0,0,0.0011428571428571427,4.7619047619047614e-05,0.6248444089267401,0.4992460551024783,1.4065423579216585e-05,-1.773649145422039e-05,0.0011428571428571427,4.7619047619047614e-05
