evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.01239232520343407,0.020581942492389475,0.0487152053199596,4.5880285758523514e-05,0.6297035587688262,0.5173645186018533
2,0.011966065977875253,0.02085524009600612,0.04735316219677298,4.598754994916638e-05,0.6135811063089203,0.5206783628343048
3,0.011528371402632857,0.021142289285151647,0.04602892850776011,4.6106014492743304e-05,0.5971946155752573,0.5243443522400278
4,0.009721052134895707,0.022242410564117243,0.0410921043061082,4.658293220078744e-05,0.5316486526406056,0.53900830986292
5,0.003921492438906802,0.011415362001592039,0.02610167923622836,4.854044803254841e-05,0.26946480090199854,0.5976641403544888
6,0.0022523226263832293,0.007353754083099997,0.018891648120779248,4.5493838790031816e-05,0.2210518786603922,0.45868853745282134
7,0.0004913798418970339,0.007246779969352063,0.007452390961619301,4.0843908568825103e-05,0.05,0.20133142760578848
8,0.00035376946667465403,0.0008068318385458206,0.007042513780568256,4.037671254634358e-05,0.08660621829701906,0.17698577574399046
9,0.0003491648678755864,0.0008550122635038137,0.006878407242533097,4.0386740469289775e-05,0.08882657727569201,0.17468736215994474
10,0.0002877489513010851,0.0014190380082743077,0.0053272357252086055,4.1682760785029015e-05,0.14401532676839118,0.1869139223743946
11,0.00017348912505349106,0.0020227117864375413,0.0030596093780968273,4.619538448921441e-05,0.29283152733827045,0.25542986532258516
12,6.471518339896521e-05,0.001173815020882069,0.001612815024566994,5.443246962925462e-05,0.49465597484067286,0.37922434756467893
13,3.493118448802663e-05,0.00047502442002749954,0.0012123976629401312,5.987414678614857e-05,0.6095629320477081,0.465133774274261
14,3.120746686070066e-05,7.327584265031665e-05,0.0012720551327115115,5.981450098006147e-05,0.6119662373426653,0.473007540344289
15,3.0948298905230146e-05,4.117684977648101e-05,0.001299923970293178,5.963359880677902e-05,0.6103083037204514,0.4748179721738952
16,3.088838921350957e-05,2.8973113661484252e-05,0.0013044549917953922,5.9312316589157034e-05,0.6093370104201942,0.4751075957144363
17,3.0469473698948847e-05,0.0001243140861584629,0.0013225322280785857,5.606954422247379e-05,0.6044484914075614,0.47993508819765585
18,3.0142088518506947e-05,0.00017410468078861693,0.00131357703581279,5.3210306289187915e-05,0.605397147127439,0.486929322348269
19,2.9713406727118746e-05,0.0001774804336806213,0.0012703324757629992,4.6400793530862225e-05,0.6167851523720067,0.5091035393018352
20,2.9380988917242345e-05,4.709996561102723e-05,0.0012239065592802142,4.547034264789319e-05,0.6243091787088156,0.5158875242922212
21,2.9335123997028827e-05,2.8769098563118447e-05,0.0012071869638717629,4.579519147684066e-05,0.6278908910696782,0.5167152947353015
22,2.9330355300363544e-05,2.1475535888332e-06,0.0012004252338682036,4.587948040029388e-05,0.6296764101316044,0.5174023367398098
23,2.9330150121560638e-05,8.879894441616901e-08,0.0012006810702545282,4.586657661733844e-05,0.6296190147622248,0.5173908886899184
