phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, surrogate)",5.00000000e-03,5.00000000e-04,0.373730,0.149981,295.8333,850.0000,40.3940,70.0039,5.466703226356e-04,0.0
Phase 2 (joint shallow surr),1.35520283e-03,4.75771199e-05,0.598912,0.476913,7.2869,9.6035,4.4797,4.6175,6.190619831729e-05,0.0
Phase 3 (joint full surr),9.85091488e-04,4.28424298e-05,0.707383,0.559667,22.0136,18.5994,12.8203,11.9335,1.002954759089e-04,0.0
