phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002719071267236945,-0.002037117351984403,-0.002715557666279156
-2,-0.02340628769495274,-0.02254306427659951,-0.02094170364994419,-0.02231576656756726
-3,-0.06477056956628323,-0.06585514754683783,-0.06333339791782359,-0.06359767426733168
-4,-0.1069978687145439,-0.1068153553221456,-0.1025324149083589,-0.09939277933230832
-5,-0.1375463225152408,-0.1358277532155931,-0.1190684518165829,-0.1210929534988297
-6,-0.1535713093831789,-0.1543828385770583,-0.131373497521937,-0.1323128544940518
-7,-0.1621867293734878,-0.1656002003421919,-0.139417062760819,-0.1379577059869161
-8,-0.1696244956881482,-0.1721279983745422,-0.1403411774956293,-0.1412022532109897
-9,-0.1777534819190489,-0.1758643452247683,-0.143362447225946,-0.1435262214276405
-10,-0.1814173452222933,-0.1780342866799337,-0.1456811764319968,-0.1454942624115453
