phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, sym 12pt)",5.00000000e-03,5.00000000e-04,0.629213,0.134229,295.8333,850.0000,0.3530,73.1542,inf,166.8
"Phase 2 (multi-obs, cold k0)",1.49364825e-03,4.78349622e-05,0.569222,0.457059,18.2472,9.1136,9.2149,8.5881,5.290852868863e-05,346.1
"Phase 3 (multi-obs, full cat)",1.47449530e-03,5.58505815e-05,0.575679,0.441239,16.7309,6.1161,8.1851,11.7522,1.251252490838e-04,408.0
