V_RHE,observable,param,adjoint,fd,rel_err,verdict
0.3,cd,log_k0_1,-3.7627642942254307e-06,-1.881591662609061e-06,0.9997772997186273,FAIL
0.3,cd,log_k0_2,-7.36145514895703e-13,-1.7319217559190364e-05,0.9999999574954519,FAIL
0.3,cd,alpha_1,-0.00011130454724715328,-5.565854309503733e-05,0.9997747166522134,FAIL
0.3,cd,alpha_2,-7.361455093491527e-11,2.8619955153897942e-08,1.0025721406808317,FAIL
0.3,pc,log_k0_1,-1.2355482222343203e-12,-1.881591662607367e-06,0.9999993433494382,FAIL
0.3,pc,log_k0_2,7.343434705775706e-13,1.731921755918867e-05,0.9999999575995008,FAIL
0.3,pc,alpha_1,-3.654816639435058e-11,-5.565854309505427e-05,0.9999993433502862,FAIL
0.3,pc,alpha_2,7.34343464163659e-11,-2.8620126796654374e-08,1.002565828828716,FAIL
