stage,k0_1,k0_2,alpha_1,alpha_2,k0_1_err,k0_2_err,alpha_1_err,alpha_2_err,loss,time_s
stage1,1.26315789e-03,5.26315789e-05,0.648000,0.312504,0.000000,0.000000,0.033492,0.374992,inf,130.5
stage2,5.00000000e-03,5.00000000e-04,0.648000,0.312504,2.958333,8.500000,0.033492,0.374992,inf,270.5
stage3,5.00000000e-03,5.00000000e-04,0.686227,0.608151,2.958333,8.500000,0.094461,0.216302,inf,515.6
stage4,5.00000000e-03,5.00000000e-04,0.638339,0.079554,2.958333,8.500000,0.018085,0.840892,inf,321.2
