phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002700584599653805,-0.002037117351984403,-0.002697132072766311
-2,-0.02340628769495274,-0.02244996639115898,-0.02094170364994419,-0.02222532794942732
-3,-0.06477056956628323,-0.06573885411957932,-0.06333339791782359,-0.06349512332514905
-4,-0.1069978687145439,-0.1067291880805081,-0.1025324149083589,-0.09932951665092962
-5,-0.1375463225152408,-0.135773706186498,-0.1190684518165829,-0.1210562974401817
-6,-0.1535713093831789,-0.1543521328942044,-0.131373497521937,-0.1322798559247376
-7,-0.1621867293734878,-0.1655841305197628,-0.139417062760819,-0.1379142973347545
-8,-0.1696244956881482,-0.17212007755257,-0.1403411774956293,-0.1411434248871621
-9,-0.1777534819190489,-0.1758605158287927,-0.143362447225946,-0.1434517080151962
-10,-0.1814173452222933,-0.1780323759411438,-0.1456811764319968,-0.1454051282665889
