noise_pct,seed,param_name,true_value,recovered_value,relative_error_pct
0.0,42,k0_1,0.0012631578947368421,0.001397965897702932,10.672300234815458
0.0,42,k0_2,5.2631578947368424e-05,5.7418789706749434e-05,9.095700442823919
0.0,42,alpha_1,0.627,0.6017917155105876,4.020460046158273
0.0,42,alpha_2,0.5,0.47653559366213544,4.692881267572913
0.0,43,k0_1,0.0012631578947368421,0.001397965897702932,10.672300234815458
0.0,43,k0_2,5.2631578947368424e-05,5.7418789706749434e-05,9.095700442823919
0.0,43,alpha_1,0.627,0.6017917155105876,4.020460046158273
0.0,43,alpha_2,0.5,0.47653559366213544,4.692881267572913
0.0,44,k0_1,0.0012631578947368421,0.001397965897702932,10.672300234815458
0.0,44,k0_2,5.2631578947368424e-05,5.7418789706749434e-05,9.095700442823919
0.0,44,alpha_1,0.627,0.6017917155105876,4.020460046158273
0.0,44,alpha_2,0.5,0.47653559366213544,4.692881267572913
1.0,42,k0_1,0.0012631578947368421,0.001386818992860229,9.789836934768136
1.0,42,k0_2,5.2631578947368424e-05,6.194052948201606e-05,17.687006015830505
1.0,42,alpha_1,0.627,0.6032214574222573,3.7924310331328073
1.0,42,alpha_2,0.5,0.47187745721947105,5.6245085561057895
1.0,43,k0_1,0.0012631578947368421,0.0014364002409489984,13.715019075129037
1.0,43,k0_2,5.2631578947368424e-05,5.9021908119974214e-05,12.141625427951002
1.0,43,alpha_1,0.627,0.5924768146869268,5.506090161574671
1.0,43,alpha_2,0.5,0.4680495463717727,6.390090725645459
1.0,44,k0_1,0.0012631578947368421,0.001482946820690171,17.399956637971865
1.0,44,k0_2,5.2631578947368424e-05,0.00020397546961895124,287.5533922760073
1.0,44,alpha_1,0.627,0.7052078594131344,12.473342809112337
1.0,44,alpha_2,0.5,0.10000752028745077,79.99849594250985
2.0,42,k0_1,0.0012631578947368421,0.0013622599865947202,7.845582272082015
2.0,42,k0_2,5.2631578947368424e-05,6.698475235249295e-05,27.271029469736597
2.0,42,alpha_1,0.627,0.6073723311258779,3.1304097087914116
2.0,42,alpha_2,0.5,0.4687150846574198,6.256983068516043
2.0,43,k0_1,0.0012631578947368421,0.0014500710413611602,14.797290774425182
2.0,43,k0_2,5.2631578947368424e-05,5.9629815311863325e-05,13.29664909254031
2.0,43,alpha_1,0.627,0.5880768307514016,6.207841985422393
2.0,43,alpha_2,0.5,0.464309163847822,7.138167230435599
2.0,44,k0_1,0.0012631578947368421,0.0014478211816064633,14.619176877178347
2.0,44,k0_2,5.2631578947368424e-05,0.00026328592102946253,400.2432499559788
2.0,44,alpha_1,0.627,0.722438801521849,15.221499445270977
2.0,44,alpha_2,0.5,0.10000752028745077,79.99849594250985
5.0,42,k0_1,0.0012631578947368421,0.0013521334830005516,7.043900737543667
5.0,42,k0_2,5.2631578947368424e-05,0.00029767857782817534,465.58929787353304
5.0,42,alpha_1,0.627,0.732096582954549,16.761815463245462
5.0,42,alpha_2,0.5,0.10000752028745077,79.99849594250985
5.0,43,k0_1,0.0012631578947368421,0.0015400744017520995,21.92255680537454
5.0,43,k0_2,5.2631578947368424e-05,6.354070200689011e-05,20.727333813091203
5.0,43,alpha_1,0.627,0.5661978396968173,9.697314242931858
5.0,43,alpha_2,0.5,0.4446647785024797,11.067044299504058
5.0,44,k0_1,0.0012631578947368421,0.0014959217729006427,18.42714035463421
5.0,44,k0_2,5.2631578947368424e-05,0.00032698441211150486,521.2703830118592
5.0,44,alpha_1,0.627,0.7365499341264523,17.47207880804662
5.0,44,alpha_2,0.5,0.10000752028745077,79.99849594250985
