phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.007483460916365476,-0.003121015383912245,0.001060649073003794,-0.003117138907257783
-2,-0.02731067792811635,-0.02372480780522268,-0.02145874608431169,-0.02351244270367843
-3,-0.06192220497036547,-0.06629383971065553,-0.0659568448718815,-0.06435489978050513
-4,-0.1079666903307231,-0.1062781013363599,-0.09962180675297472,-0.1000153835675406
-5,-0.1355576318871053,-0.1348435767154154,-0.123516153031586,-0.1223216040142115
-6.5,-0.1594981433550219,-0.1597805289289045,-0.1377145193184194,-0.1378185134856443
-8,-0.1717302207076256,-0.1715112046900554,-0.1427989098651135,-0.1438029799474365
-10,-0.1741329113819234,-0.1777454156817958,-0.1491318453205951,-0.1480466812051504
-11.5,-0.1797507782306107,-0.179671723292406,-0.1480183949925786,-0.1505738510279641
-13,-0.180369925053021,-0.1807890472036308,-0.1547720844454233,-0.152888121596861
