noise_model,sigma_cd_min,sigma_cd_max,sigma_pc_min,sigma_pc_max,sv_min,sv_max,cond_F,ridge_cos,weak_eigvec_str
A_global_2pct_max,0.0035603758708275058,0.0035603758708275058,3.0875246647367565e-07,3.0875246647367565e-07,2.5100616146166828,10630.609377338576,17936906.94196887,0.03079363538390727,"[+0.999,+0.031,-0.018,-0.001]"
B_local_2pct,3.647955796313684e-11,0.0035603758708275058,5.4086958675129377e-11,3.0875246647367565e-07,66.8999461914963,56105.3752581036,703327.1881639444,0.05560430661152678,"[+0.998,+0.056,-0.021,-0.003]"
C_local_2pct_floor_1e-06,1.000000000665379e-06,0.0035603760112621137,1.0000000014626996e-06,1.0465792304233724e-06,2.873746024127026,3305.1442219046835,1322769.1664161428,0.020214990164908877,"[+1.000,+0.020,-0.022,-0.003]"
C_local_2pct_floor_1e-07,1.0000000665379051e-07,0.003560375872231852,1.0000001462699441e-07,3.245428870790087e-07,5.217623144733018,28246.663884235666,29308184.018056456,0.011044290853644008,"[+1.000,+0.011,-0.018,-0.001]"
C_local_2pct_floor_1e-08,1.0000066537686097e-08,0.0035603758708415492,1.0000146268885208e-08,3.0891436605243567e-07,5.35452375135984,55280.42275344454,106586208.0369394,0.011180192000466556,"[+1.000,+0.011,-0.018,-0.001]"
C_local_2pct_floor_1e-09,1.0006651578571055e-09,0.0035603758708276463,1.0014616313662373e-09,3.087540858896902e-07,6.059949033189785,56083.08117457203,85649689.87551735,0.011307761029823801,"[+1.000,+0.011,-0.018,-0.001]"
