noise_model,log_k0_1,log_k0_2,alpha_1,alpha_2,ridge_cos
A_global_2pct_max,0.9993674447098045,0.03077714581279706,-0.01778375947387133,-0.0011025646416763007,0.03079363538390727
B_local_2pct,0.9982268032070669,0.055544952015665436,-0.02113233531230381,-0.003381134251313967,0.05560430661152678
C_local_2pct_floor_1e-06,0.9995471157831356,0.020146074682357268,-0.022085481626147346,-0.003454056434008583,0.020214990164908877
C_local_2pct_floor_1e-07,0.9997838464781672,0.011029845319801326,-0.017605923716647806,-0.0007964192524862267,0.011044290853644008
C_local_2pct_floor_1e-08,0.9997841571356,0.011166971123812586,-0.017503995077307467,-0.0007403059579137141,0.011180192000466556
C_local_2pct_floor_1e-09,0.9997823780376648,0.011294291259062414,-0.017523355774366495,-0.0007533609447410447,0.011307761029823801
