phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, surrogate)",5.00000000e-03,5.00000000e-04,0.352525,0.176168,295.8333,850.0000,43.7759,64.7664,7.467763621341e-04,0.0
Phase 2 (joint shallow surr),1.37383579e-03,4.86481767e-05,0.597169,0.468247,8.7620,7.5685,4.7577,6.3505,6.307420426455e-05,0.0
Phase 3 (PDE shallow),1.47110308e-03,4.64346088e-05,0.573381,0.462713,16.4623,11.7742,8.5516,7.4573,5.293656922889e-05,238.7
Phase 4 (PDE full cathodic),1.38233484e-03,5.22013013e-05,0.594821,0.460766,9.4348,0.8175,5.1321,7.8468,1.254020172141e-04,364.5
