phi_applied,target_observable,simulated_observable
0,-0.1496004012259144,-0.1784728086282971
0.002857142857142857,-0.2892515281037816,-0.2975028708308454
0.005714285714285714,-0.3863183491020452,-0.4145349419004749
0.008571428571428572,-0.5227530409855006,-0.5298513430585365
0.01142857142857143,-0.5500566689625342,-0.644010786455967
0.01428571428571429,-0.8164404349155597,-0.7574965517672231
0.01714285714285714,-1.042292932903442,-0.8708207983906842
0.02,-0.9927629686079807,-0.9843752733998584
0.02285714285714286,-1.108758001730292,-1.099117287568356
0.02571428571428571,-1.241795384041408,-1.215626514608043
0.02857142857142857,-1.319021269883794,-1.334787026605461
0.03142857142857143,-1.437849685755701,-1.457527452994766
0.03428571428571429,-1.582429194420228,-1.585587014461775
0.03714285714285714,-1.67456268082825,-1.720541390292594
0.04,-1.83609488884997,-1.865300763632751
