phi_applied,target_flux,simulated_flux
0,-0.0288900563135587,-0.01054576434812163
0.002857142857142857,-0.04385723029365427,-0.02687080368177615
0.005714285714285714,-0.05380783039484605,-0.04320066000276854
0.008571428571428572,-0.06884740704009035,-0.05956414974364388
0.01142857142857143,-0.07067126187180453,-0.07599320790206408
0.01428571428571429,-0.1021271105333592,-0.09252322397977607
0.01714285714285714,-0.1287945497970247,-0.1091945283649494
0.02,-0.1217863841266193,-0.1260542136384201
0.02285714285714286,-0.1353295983033898,-0.1431584575320849
0.02571428571428571,-0.1511656262818133,-0.1605674262152865
0.02857142857142857,-0.1603618636401574,-0.1783813559296615
0.03142857142857143,-0.1749472128805745,-0.19669981337375
0.03428571428571429,-0.192969540938754,-0.2156531622489181
0.03714285714285714,-0.2049439896641893,-0.2354375887176675
0.04,-0.2259705682070486,-0.2562925034409953
