phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002700556190491074,-0.002037117351984403,-0.002697106856361959
-2,-0.02340628769495274,-0.02244877740639351,-0.02094170364994419,-0.02222433054489276
-3,-0.06477056956628323,-0.06573578773688772,-0.06333339791782359,-0.06349375078661929
-4,-0.1069978687145439,-0.1067255112994144,-0.1025324149083589,-0.09933026981198184
-5,-0.1375463225152408,-0.135770377018746,-0.1190684518165829,-0.1210593724105561
-6,-0.1535713093831789,-0.1543495903967159,-0.131373497521937,-0.1322837360484885
-7,-0.1621867293734878,-0.165582412747326,-0.139417062760819,-0.1379172963819997
-8,-0.1696244956881482,-0.1721190712520722,-0.1403411774956293,-0.1411450352296472
-9,-0.1777534819190489,-0.17585985673452,-0.143362447225946,-0.143451660611151
-10,-0.1814173452222933,-0.1780319633134421,-0.1456811764319968,-0.1454033006772194
