evaluation,iteration,point_index,phi_applied,target_observable,simulated_observable,target_flux,simulated_flux,point_objective,dJ_dkappa0,dJ_dkappa1,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason
1,0,0,0.0,-0.1496004012259144,0.39003445016059063,-0.1496004012259144,0.39003445016059063,0.1456028864154688,0.08750911200709592,-0.06087157420287376,1,10,0.0004032229553950754,0.00015733428449482556,1,
1,0,1,0.002857142857142857,-0.28925152810378163,0.20000864606077073,-0.28925152810378163,0.20000864606077073,0.11968775901176297,0.07472668502486744,-0.05586769267041939,1,20,0.00022026104533784827,4.405411345795307e-05,1,
1,0,2,0.005714285714285714,-0.3863183491020452,0.013256971442160318,-0.3863183491020452,0.013256971442160318,0.07983021839399744,0.05811300490143397,-0.04672203871579897,1,35,0.00018863073155996816,2.500672221404307e-06,1,
1,0,3,0.008571428571428572,-0.5227530409855006,-0.17178655068420426,-0.5227530409855006,-0.17178655068420426,0.06158873865721112,0.04848715119276766,-0.04194595909904156,1,26,0.00021877247791696392,3.75903931094379e-05,1,
1,0,4,0.011428571428571429,-0.5500566689625342,-0.35508222134410367,-0.5500566689625342,-0.35508222134410367,0.019007517612052927,0.02546028751306567,-0.023739040959440252,1,25,0.00018490917404264504,6.567010327052092e-05,1,
1,0,5,0.014285714285714285,-0.8164404349155597,-0.5369613815611008,-0.8164404349155597,-0.5369613815611008,0.03905427063195875,0.03431545096593782,-0.034560385666499834,1,24,0.00019793415272755703,0.0001063040373062707,1,
1,0,6,0.017142857142857144,-1.042292932903442,-0.7177204914003025,-1.042292932903442,-0.7177204914003025,0.05267363489164367,0.03725346324835118,-0.040643661679233375,1,23,0.00022888691574246027,0.0001643144390669482,1,
1,0,7,0.02,-0.9927629686079807,-0.897496229768655,-0.9927629686079807,-0.897496229768655,0.004537875764544077,0.010150724125356942,-0.01204326227422339,1,23,0.00021311858159984854,0.00019131389602566884,1,
1,0,8,0.022857142857142857,-1.1087580017302918,-1.0767357288414563,-1.1087580017302918,-1.0767357288414563,0.0005127129804844496,0.0031430157844521897,-0.004074210169378769,1,23,0.00020213588271157982,0.00021769093014478713,1,
1,0,9,0.025714285714285714,-1.241795384041408,-1.255826508839721,-1.241795384041408,-1.255826508839721,9.843623155356083e-05,-0.0012571725530289909,0.0017908415565709756,1,23,0.00019379842538500455,0.00024342437523050542,1,
1,0,10,0.02857142857142857,-1.3190212698837942,-1.4352166003739995,-1.3190212698837942,-1.4352166003739995,0.006750677413869584,-0.009401987771662634,0.014824252761632533,1,23,0.000187039646969014,0.00026849262502381954,1,
1,0,11,0.03142857142857143,-1.4378496857557015,-1.6154318622909658,-1.4378496857557015,-1.6154318622909658,0.015767714711496,-0.012807573812841318,0.022554421330485595,1,23,0.0001812646930783385,0.0002928738483953808,1,
1,0,12,0.03428571428571429,-1.5824291944202276,-1.7974148293889725,-1.5824291944202276,-1.7974148293889725,0.023109411621474972,-0.013602887447090728,0.02705184621435089,1,22,0.00022727106203821403,0.0004085932386177493,1,
1,0,13,0.037142857142857144,-1.6745626808282497,-1.9813109268580098,-1.6745626808282497,-1.9813109268580098,0.04704724322115078,-0.01666440451215718,0.038011644197756114,1,22,0.00022126289618893105,0.00043848761496700916,1,
1,0,14,0.04,-1.8360948888499704,-2.168338059359564,-1.8360948888499704,-2.168338059359564,0.05519276217516082,-0.015062571199116729,0.04023380855952466,1,22,0.00021553875420461373,0.00046746164010835756,1,
2,0,0,0.0,-0.1496004012259144,0.3192928759576327,-0.1496004012259144,0.3192928759576327,0.10993045269396437,0.07895472666916148,-0.05062490052248407,1,14,0.000162948098316412,5.202816694327428e-05,1,
2,0,1,0.002857142857142857,-0.28925152810378163,0.1318408203849571,-0.28925152810378163,0.1318408203849571,0.08865938297787976,0.06743328494494315,-0.04651023058118041,1,24,0.00020400142495246649,2.6895715225433436e-05,1,
2,0,2,0.005714285714285714,-0.3863183491020452,-0.05324360243958985,-0.3863183491020452,-0.05324360243958985,0.055469393432125355,0.050815097696363075,-0.0377109322956305,1,30,0.00020916358898951352,1.1138952840349103e-05,1,
2,0,3,0.008571428571428572,-0.5227530409855006,-0.23638070411907802,-0.5227530409855006,-0.23638070411907802,0.04100455766117292,0.04147332628154313,-0.03314268668289782,1,26,0.00018610300730864204,4.3999348317336207e-05,1,
2,0,4,0.011428571428571429,-0.5500566689625342,-0.41772187318854764,-0.5500566689625342,-0.41772187318854764,0.00875624908626924,0.018106976131351152,-0.015606012233777175,1,24,0.0002269186901348893,9.481041455972061e-05,1,
2,0,5,0.014285714285714285,-0.8164404349155597,-0.5973704755319702,-0.8164404349155597,-0.5973704755319702,0.02399582355216889,0.028162958169889625,-0.026242113122770375,1,24,0.00019501419630204252,0.00011651844593152383,1,
2,0,6,0.017142857142857144,-1.042292932903442,-0.7758495583811402,-1.042292932903442,-0.7758495583811402,0.03549603591340692,0.03200060085314877,-0.03232748999594212,1,23,0.00022831676145345658,0.0001771799116883077,1,
2,0,7,0.02,-0.9927629686079807,-0.9532139594499129,-0.9927629686079807,-0.9532139594499129,0.0007820620626940945,0.004406941934808915,-0.004845552764383958,1,23,0.00021387778816799846,0.00020391490616711305,1,
2,0,8,0.022857142857142857,-1.1087580017302918,-1.1299239648052106,-1.1087580017302918,-1.1299239648052106,0.00022399899644380214,-0.00217139910010162,0.0026108043590912363,1,23,0.00020351695088809897,0.0002300054900685744,1,
2,0,9,0.025714285714285714,-1.241795384041408,-1.3063684649101204,-1.241795384041408,-1.3063684649101204,0.0020848413864416027,-0.006044266866073427,0.007993310843150686,1,23,0.00019548852596093817,0.0002554299791972525,1,
2,0,10,0.02857142857142857,-1.3190212698837942,-1.4829946940935859,-1.3190212698837942,-1.4829946940935859,0.01344364192355001,-0.0138550790013921,0.020298549043488417,1,23,0.0001888836413358424,0.00028016635674377177,1,
2,0,11,0.03142857142857143,-1.4378496857557015,-1.6603247086906407,-1.4378496857557015,-1.6603247086906407,0.02474756791494475,-0.01675006430474315,0.027432052738961432,1,23,0.000183179110846703,0.0003041925255711231,1,
2,0,12,0.03428571428571429,-1.5824291944202276,-1.8393039798688136,-1.5824291944202276,-1.8393039798688136,0.032992327699649764,-0.0169649784786762,0.031401081049331515,1,22,0.00022976215537814484,0.0004226995671738898,1,
2,0,13,0.037142857142857144,-1.6745626808282497,-2.020041712964249,-1.6745626808282497,-2.020041712964249,0.059677880822795,-0.019592488608364798,0.04162573194591732,1,22,0.00022375298665377292,0.0004520915232695266,1,
2,0,14,0.04,-1.8360948888499704,-2.203744693081929,-1.8360948888499704,-2.203744693081929,0.06758318927592914,-0.01740891278108344,0.04333727370512696,1,22,0.00021800584663949282,0.00048053398681124904,1,
3,1,0,0.0,-0.1496004012259144,0.1457262468560523,-0.1496004012259144,0.1457262468560523,0.043608914533665506,0.058102232636394996,-0.030950679496591856,1,24,0.00022413825493985224,3.266282666924969e-05,1,
3,1,1,0.002857142857142857,-0.28925152810378163,-0.034788948461499714,-0.28925152810378163,-0.034788948461499714,0.03237560221910177,0.0477780535326279,-0.02745659052458269,1,32,0.0002242143549425353,7.801930943338031e-06,1,
3,1,2,0.005714285714285714,-0.3863183491020452,-0.21284537304528844,-0.3863183491020452,-0.21284537304528844,0.015046436710991944,0.03098609010214397,-0.019214140028458414,1,26,0.00022835391703630083,4.861517612383959e-05,1,
3,1,3,0.008571428571428572,-0.5227530409855006,-0.3884590283829435,-0.5227530409855006,-0.3884590283829435,0.009017440910450236,0.02271498498422506,-0.015216650927168354,1,25,0.00020606817220708258,8.006554091588569e-05,1,
3,1,4,0.011428571428571429,-0.5500566689625342,-0.5619944900937625,-0.5500566689625342,-0.5619944900937625,7.125578668079156e-05,-0.0019029282854689702,0.0013794742534181134,1,24,0.00022223552839702244,0.00012492290476995294,1,
3,1,5,0.014285714285714285,-0.8164404349155597,-0.7336142784946207,-0.8164404349155597,-0.7336142784946207,0.003430086093734862,0.012373960188154903,-0.009731152665006123,1,24,0.00019987978032949089,0.00014666397599538694,1,
3,1,6,0.017142857142857144,-1.042292932903442,-0.903706236731169,-1.042292932903442,-0.903706236731169,0.009603136177968343,0.01928903247057601,-0.016507192596176237,1,24,0.00018569017337708766,0.00016784053411844635,1,
3,1,7,0.02,-0.9927629686079807,-1.0727908875634025,-0.9927629686079807,-1.0727908875634025,0.003202233906164477,-0.010310182564573587,0.009636512151895786,1,23,0.00022558220532997467,0.0002420571380574721,1,
3,1,8,0.022857142857142857,-1.1087580017302918,-1.2408770200739074,-1.1087580017302918,-1.2408770200739074,0.008727717504036506,-0.015629497304733845,0.016034892148726426,1,23,0.0002158487676608991,0.00026789960140050084,1,
3,1,9,0.025714285714285714,-1.241795384041408,-1.40854243842606,-1.241795384041408,-1.40854243842606,0.013902290072986725,-0.01795034413556501,0.020334388403215414,1,23,0.00020796199588174631,0.0002929842263637017,1,
3,1,10,0.02857142857142857,-1.3190212698837942,-1.5762543455494906,-1.3190212698837942,-1.5762543455494906,0.033084427608229286,-0.02493027672655752,0.0314120581707729,1,23,0.00020125160035521078,0.00031728756423876625,1,
3,1,11,0.03142857142857143,-1.4378496857557015,-1.744553239474494,-1.4378496857557015,-1.744553239474494,0.04703353493185969,-0.026416189198940374,0.037360350031521036,1,23,0.00019530504660725975,0.0003407866090889833,1,
3,1,12,0.03428571428571429,-1.5824291944202276,-1.914073432506146,-1.5824291944202276,-1.914073432506146,0.05499395032782205,-0.024978405798566042,0.04011547546942232,1,23,0.00018985174629527037,0.00036345918706004454,1,
