phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
P1 (PDE shallow),9.36408194e-04,5.41436779e-05,0.680649,0.529570,25.8677,2.8730,8.5565,5.9139,5.658891403247e-05,330.6
P2 (PDE full range),9.36317360e-04,5.41434999e-05,0.674619,0.524984,25.8749,2.8726,7.5947,4.9968,2.000000000000e+09,656.3
