phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
P1 alpha (nn-ensemble),5.00000000e-03,5.00000000e-04,0.315665,0.107499,295.8333,850.0000,49.6548,78.5002,5.608071558029e-04,0.1
P2 joint (nn-ensemble),1.35012213e-03,4.63970363e-05,0.604793,0.482589,6.8847,11.8456,3.5418,3.4822,5.866106181663e-05,0.6
Phase 3 (PDE shallow),1.34903830e-03,4.64198950e-05,0.602692,0.483930,6.7989,11.8022,3.8768,3.2139,5.374301967673e-05,100.7
Phase 4 (PDE full cathodic),1.47336225e-03,5.57727430e-05,0.575977,0.441608,16.6412,5.9682,8.1377,11.6784,1.251261678681e-04,536.9
