evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,grad_0,grad_1,effective_k0_0,effective_k0_1
1,0,0.0016233214400099315,0.005259898643823083,0,0,0.003000000000000001,0.0001,-0.4937258356318919,17.390644245736485,0.003000000000000001,0.0001
2,0,0.001595975642546305,0.005141172816810345,0,0,0.003023651904945859,9.908220346266788e-05,-0.4764601056594661,17.216289608297316,0.003023651904945859,9.908220346266788e-05
3,1,0.0008645602676297474,0.0015571116355008593,0,0,0.003998921542609254,6.175789690535807e-05,-0.029486499330004946,10.782192342959913,0.003998921542609254,6.175789690535807e-05
4,2,0.0007009995888255135,0.0010586502049347675,0,0,0.004087094686865958,4.544813795228832e-05,0.0446857192409829,9.28388182628213,0.004087094686865958,4.544813795228832e-05
5,3,0.00044271858953272845,0.0009461023908884329,0,0,0.0034695810084510205,2.2213852334979165e-05,0.10442372565030311,8.724712355446062,0.0034695810084510205,2.2213852334979165e-05
6,4,0.00011987545353420485,0.0003275638940620813,0,0,0.0019054940690616722,5.814734598792128e-06,0.062154189382141914,13.553439190014434,0.0019054940690616722,5.814734598792128e-06
7,5,6.136641185361903e-05,0.0001904309217921908,0,0,0.0013533517829354502,2.5864013477185468e-06,-0.05082190833457924,17.75641347660555,0.0013533517829354502,2.5864013477185468e-06
8,6,5.530351793846963e-05,0.00019841599800879368,0,0,0.001306181909939969,2.0885800836161467e-06,-0.06005597749716571,17.076049045378653,0.001306181909939969,2.0885800836161467e-06
9,7,4.2146613856812935e-05,8.274985333745459e-05,0,0,0.0013352725307647128,1.2761760161769657e-06,-0.024304146721505687,12.097555813098989,0.0013352725307647128,1.2761760161769657e-06
10,8,3.757827294593048e-05,2.8556681709237653e-05,0,0,0.001353891753061027,8.72841554542016e-07,-0.007074591516027557,9.0260158896059,0.001353891753061027,8.72841554542016e-07
11,9,3.5223209224720934e-05,1.026519057435706e-05,0,0,0.001352051746295261,5.749312767570245e-07,-0.0016178539592568387,6.75660263501304,0.001352051746295261,5.749312767570245e-07
12,10,3.406065077361241e-05,9.28447435576399e-06,0,0,0.0013401906245644269,3.771309785928415e-07,-0.002627516237595804,5.20857896359174,0.0013401906245644269,3.771309785928415e-07
13,11,3.3499453131072777e-05,1.777518036696743e-05,0,0,0.001355600623202541,2.4702216345560294e-07,0.005655371895069347,3.663830011202906,0.001355600623202541,2.4702216345560294e-07
14,12,3.31847887867855e-05,4.697338811572619e-06,0,0,0.001341542692751199,1.6743742068407652e-07,0.0014722041744226525,3.0511371853392717,0.001341542692751199,1.6743742068407652e-07
15,13,3.3013061093290356e-05,3.120692549971691e-06,0,0,0.001332867874274094,1.0542996568043577e-07,-0.0009976191998186555,2.4869654851496836,0.001332867874274094,1.0542996568043577e-07
16,14,3.2925654239477623e-05,1.104394414338324e-06,0,0,0.001333047024980122,6.690174326460383e-08,-0.00034508694820920097,2.029283222626768,0.001333047024980122,6.690174326460383e-08
17,15,3.2877659150630315e-05,2.1679890925413083e-06,0,0,0.0013311747928339973,4.063805901806939e-08,-0.0007053110717322132,1.7381861059744645,0.0013311747928339973,4.063805901806939e-08
18,16,3.2910733459815176e-05,2.286749617264002e-05,0,0,0.0013511582933605324,2.1643457019900633e-08,0.007350132295212112,1.2215981838945245,0.0013511582933605324,2.1643457019900633e-08
19,16,3.2867343165587955e-05,6.050175295873724e-06,0,0,0.0013376462822424216,3.3104018082842114e-08,0.001963938812647379,1.551918003912256,0.0013376462822424216,3.3104018082842114e-08
20,17,3.2845530800054194e-05,1.6608953149675482e-06,0,0,0.0013336071881504753,2.120690392149118e-08,0.0005403767100091154,1.462835306760574,0.0013336071881504753,2.120690392149118e-08
21,18,3.2831986583499085e-05,7.610622319253514e-07,0,0,0.0013312714738995483,1.1389108332698377e-08,-0.00024799972726924276,1.3731048958869227,0.0013312714738995483,1.1389108332698377e-08
