phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, sym 12pt)",5.00000000e-03,5.00000000e-04,0.629213,0.134229,295.8333,850.0000,0.3530,73.1542,inf,162.4
"Phase 2 (multi-obs, cold k0)",1.49395501e-03,4.80632337e-05,0.569639,0.457131,18.2714,8.6799,9.1484,8.5737,5.291098294162e-05,135.0
"Phase 3 (multi-obs, full cat)",1.40048359e-03,5.39896854e-05,0.591693,0.455954,10.8716,2.5804,5.6310,8.8093,1.253264030700e-04,116.6
