phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.008122387304030951,-0.003005414712861419,0.001789441391470563,-0.003001192026883509
-2,-0.02789442154196056,-0.02347952388605033,-0.02120650451550158,-0.02324144454488145
-3,-0.06129697453964553,-0.06639204189805353,-0.06630909850490435,-0.06422229886990063
-4,-0.108061083948832,-0.1066839072945079,-0.09962922230957211,-0.09981954550734649
-5,-0.1354812639890666,-0.1353354316908826,-0.1239665943372014,-0.1219538535169151
-6.5,-0.1593150309425325,-0.1601611249575983,-0.138086524355128,-0.1375020685913282
-8,-0.1716718651389106,-0.1717306179695944,-0.143013443521855,-0.1438931929645779
-10,-0.1735978669086523,-0.1778403160314026,-0.1496549086463166,-0.1487860265517667
-13,-0.1808074919500438,-0.1808321063190835,-0.1504691013926993,-0.1544460364263898
-17,-0.1820896560953913,-0.182651337952547,-0.1615512155975993,-0.1606221642879054
-22,-0.1891036002732425,-0.1842533817215877,-0.1699537719650254,-0.1665738417912342
-28,-0.1832562407713948,-0.1857692177468011,-0.1665185112849642,-0.1715391241762982
-35,-0.1885126321939949,-0.1872514268255575,-0.1751931610876536,-0.174844308912648
-41,-0.1859119715816313,-0.1884025699990799,-0.1802174676274317,-0.175927917863489
-46.5,-0.1886093566851096,-0.1893995569801772,-0.1791820335287433,-0.17593032945902
